QGPIORecord, QRC v6.1.0, 29-11-2024 @ 17:51:31, Windows 10 Version 2009, 10.0.19045, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
54411, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54420, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54430, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54440, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54450, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54460, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54470, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54480, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54491, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54500, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54510, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54520, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54531, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54540, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54550, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54560, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54571, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54580, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54590, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54600, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54610, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54620, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54630, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54640, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54650, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54661, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54670, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54680, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54690, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54701, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54710, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54720, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54730, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54740, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54750, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54760, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54770, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54780, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54790, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54800, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54810, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54820, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54831, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54840, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54850, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54860, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54871, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54880, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54890, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54900, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54910, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54920, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54930, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54940, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54950, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54961, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54970, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54980, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54990, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55001, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55010, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55020, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55030, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55041, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55050, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55060, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55070, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55080, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55090, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55100, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55110, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55120, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55131, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55140, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55150, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55160, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55171, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55180, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55190, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55200, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55211, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55220, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55230, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55240, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55250, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55260, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55270, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55280, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55290, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
