QGPIORecord, QRC v6.1.0, 24-11-2024 @ 13:09:58, Windows 10 Version 2009, 10.0.19045, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
9250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9261, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9270, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9280, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9290, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9300, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9310, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9320, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9330, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9340, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9350, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9360, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9370, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9380, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9391, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9400, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9410, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9420, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9431, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9440, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9450, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9460, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9470, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9480, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
