QGPIORecord, QRC v6.1.0, 30-11-2024 @ 11:22:51, Windows 10 Version 2009, 10.0.19045, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
104020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104030, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104040, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104050, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104060, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104070, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104080, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104090, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104240, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104270, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104281, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104310, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104321, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104340, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104350, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104380, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104390, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104410, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104420, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104430, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104440, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104451, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104460, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104470, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104480, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104491, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104510, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104520, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104530, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104540, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104550, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104570, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104580, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104590, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104610, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104621, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104630, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104640, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104650, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104660, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104670, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104680, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104690, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104710, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104720, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104730, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104740, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104751, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104760, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104770, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104780, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104791, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104800, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104810, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
