QGPIORecord, QRC v6.1.0, 30-11-2024 @ 10:37:39, Windows 10 Version 2009, 10.0.19045, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
12331, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12340, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12350, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12380, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12390, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12410, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12420, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12430, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12440, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12450, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12461, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12470, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12480, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12490, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12510, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12520, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12530, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12540, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12550, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12570, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12580, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12591, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12610, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12620, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12631, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12640, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12650, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12660, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12670, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12680, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12690, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12710, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12720, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12730, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12740, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12750, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12761, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12770, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12780, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12790, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12801, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12810, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12820, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12830, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12840, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12850, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12870, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12880, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12890, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12910, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12920, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12931, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12940, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12950, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12960, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12971, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12980, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12990, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13030, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13040, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13050, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13060, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13070, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13080, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13090, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
