QGPIORecord, QRC v6.1.0, 29-11-2024 @ 19:33:33, Windows 10 Version 2009, 10.0.19045, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
9650, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9660, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9670, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9680, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9690, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9710, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9720, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9731, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9740, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9750, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9760, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9771, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9780, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9790, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9800, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9810, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9820, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9830, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9840, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9850, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9870, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9880, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9890, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9901, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9910, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9920, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9930, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9940, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9950, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9960, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9970, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9980, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9990, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10031, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10040, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10050, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10060, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10071, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10080, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10090, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
