QGPIORecord, QRC v6.1.0, 14-12-2024 @ 20:59:38, Windows 10 Version 2009, 10.0.19045, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
42591, -0.0892849, -0.300432, -0.0800121, -9.75787, -9.72631, 0, 0, -0.391999, 0, 0, 0, -0.4
42600, 0.0109411, -0.200207, 0.0409618, -9.75787, -9.72631, 0, 0, -0.404096, 0, 0, 0, -0.4
42610, 0.0137347, -0.197413, 0.0409618, -9.75787, -9.72631, 0, 0, -0.404096, 0, 0, 0, -0.4
42620, 0.0165283, -0.194619, 0.0409618, -9.75787, -9.72631, 0, 0, -0.404096, 0, 0, 0, -0.4
42631, 0.0193219, -0.191826, 0.0409618, -9.75787, -9.72631, 0, 0, -0.404096, 0, 0, 0, -0.4
42640, 0.0221155, -0.189032, 0.0409618, -9.75787, -9.72631, 0, 0, -0.404096, 0, 0, 0, -0.4
42650, 0.024909, -0.186239, 0.0409618, -9.75787, -9.72631, 0, 0, -0.404096, 0, 0, 0, -0.4
42660, 0.0277026, -0.183445, 0.0409618, -9.75787, -9.72631, 0, 0, -0.404096, 0, 0, 0, -0.4
42671, 0.0304962, -0.180651, 0.0409618, -9.75787, -9.72631, 0, 0, -0.404096, 0, 0, 0, -0.4
42680, 0.0332898, -0.177858, 0.0409618, -9.75787, -9.72631, 0, 0, -0.404096, 0, 0, 0, -0.4
42690, 0.0914816, -0.119666, 0.104375, -9.75787, -9.72631, 0, 0, -0.410438, 0, 0, 0, -0.4
42700, 0.0432018, -0.167946, 0.0409618, -9.75787, -9.72631, 0, 0, -0.404096, 0, 0, 0, -0.4
42711, 0.0459954, -0.165152, 0.0409618, -9.75787, -9.72631, 0, 0, -0.404096, 0, 0, 0, -0.4
42720, -0.0568938, -0.268041, -0.0800121, -9.75787, -9.72631, 0, 0, -0.391999, 0, 0, 0, -0.4
42730, 0.0433322, -0.167815, 0.0409618, -9.75787, -9.72631, 0, 0, -0.404096, 0, 0, 0, -0.4
42740, 0.158738, -0.0524092, 0.169868, -9.75787, -9.72631, 0, 0, -0.416987, 0, 0, 0, -0.4
42750, -0.147345, -0.358493, -0.193764, -9.75787, -9.72631, 0, 0, -0.380624, 0, 0, 0, -0.4
42761, 0.0444961, -0.166651, 0.0409618, -9.75787, -9.72631, 0, 0, -0.404096, 0, 0, 0, -0.4
42770, 0.0472897, -0.163858, 0.0409618, -9.75787, -9.72631, 0, 0, -0.404096, 0, 0, 0, -0.4
42780, 0.0500833, -0.161064, 0.0409618, -9.75787, -9.72631, 0, 0, -0.404096, 0, 0, 0, -0.4
42790, 0.0528769, -0.158271, 0.0409618, -9.75787, -9.72631, 0, 0, -0.404096, 0, 0, 0, -0.4
42801, -0.149386, -0.360533, -0.193764, -9.75787, -9.72631, 0, 0, -0.380624, 0, 0, 0, -0.4
42810, 0.0424558, -0.168692, 0.0409618, -9.75787, -9.72631, 0, 0, -0.404096, 0, 0, 0, -0.4
42820, 0.100648, -0.1105, 0.104375, -9.75787, -9.72631, 0, 0, -0.410438, 0, 0, 0, -0.4
42830, -0.152688, -0.363836, -0.193764, -9.75787, -9.72631, 0, 0, -0.380624, 0, 0, 0, -0.4
42841, 0.0391532, -0.171994, 0.0409618, -9.75787, -9.72631, 0, 0, -0.404096, 0, 0, 0, -0.4
42850, 0.213681, 0.00253353, 0.237544, -9.75787, -9.72631, 0, 0, -0.423754, 0, 0, 0, -0.4
42860, 0.0581473, -0.153, 0.0409618, -9.75787, -9.72631, 0, 0, -0.404096, 0, 0, 0, -0.4
42870, 0.0609409, -0.150207, 0.0409618, -9.75787, -9.72631, 0, 0, -0.404096, 0, 0, 0, -0.4
42881, -0.0923878, -0.303535, -0.13775, -9.75787, -9.72631, 0, 0, -0.386225, 0, 0, 0, -0.4
42890, 0.05434, -0.156808, 0.0409618, -9.75787, -9.72631, 0, 0, -0.404096, 0, 0, 0, -0.4
42900, 0.0571336, -0.154014, 0.0409618, -9.75787, -9.72631, 0, 0, -0.404096, 0, 0, 0, -0.4
42910, 0.0599272, -0.15122, 0.0409618, -9.75787, -9.72631, 0, 0, -0.404096, 0, 0, 0, -0.4
42920, 0.0627207, -0.148427, 0.0409618, -9.75787, -9.72631, 0, 0, -0.404096, 0, 0, 0, -0.4
42931, 0.0655143, -0.145633, 0.0409618, -9.75787, -9.72631, 0, 0, -0.404096, 0, 0, 0, -0.4
42940, 0.0683079, -0.14284, 0.0409618, -9.75787, -9.72631, 0, 0, -0.404096, 0, 0, 0, -0.4
42950, 0.0711015, -0.140046, 0.0409618, -9.75787, -9.72631, 0, 0, -0.404096, 0, 0, 0, -0.4
42960, 0.0738951, -0.137252, 0.0409618, -9.75787, -9.72631, 0, 0, -0.404096, 0, 0, 0, -0.4
42971, 0.0766887, -0.134459, 0.0409618, -9.75787, -9.72631, 0, 0, -0.404096, 0, 0, 0, -0.4
42980, 0.134881, -0.0762671, 0.104375, -9.75787, -9.72631, 0, 0, -0.410438, 0, 0, 0, -0.4
42990, 0.0866007, -0.124547, 0.0409618, -9.75787, -9.72631, 0, 0, -0.404096, 0, 0, 0, -0.4
43000, 0.0893943, -0.121753, 0.0409618, -9.75787, -9.72631, 0, 0, -0.404096, 0, 0, 0, -0.4
43011, 0.0921879, -0.11896, 0.0409618, -9.75787, -9.72631, 0, 0, -0.404096, 0, 0, 0, -0.4
43020, 0.0949815, -0.116166, 0.0409618, -9.75787, -9.72631, 0, 0, -0.404096, 0, 0, 0, -0.4
43030, 0.0977751, -0.113372, 0.0409618, -9.75787, -9.72631, 0, 0, -0.404096, 0, 0, 0, -0.4
43040, 0.100569, -0.110579, 0.0409618, -9.75787, -9.72631, 0, 0, -0.404096, 0, 0, 0, -0.4
43051, 0.103362, -0.107785, 0.0409618, -9.75787, -9.72631, 0, 0, -0.404096, 0, 0, 0, -0.4
43061, 0.106156, -0.104992, 0.0409618, -9.75787, -9.72631, 0, 0, -0.404096, 0, 0, 0, -0.4
43070, 0.108949, -0.102198, 0.0409618, -9.75787, -9.72631, 0, 0, -0.404096, 0, 0, 0, -0.4
43081, 0.111743, -0.0994045, 0.0409618, -9.75787, -9.72631, 0, 0, -0.404096, 0, 0, 0, -0.4
43090, 1.86174, 1.65059, 2.04096, -9.75787, -9.72631, 0, 0, -0.404096, 0, 0, 0, -0.2
43101, 2.00093, 1.78978, 2.04096, -9.75787, -9.72631, 0, 0, -0.404096, 0, 0, 0, -0.2
43110, 1.22121, 1.01619, 2.04096, -9.74735, -9.7158, 1.05187, 1.04486, -0.404096, 0, 0, 0, -0.2
43120, 0.985422, 0.162142, 2.04096, -9.73333, -9.69827, 1.39899, 2.10024, -0.404096, 0, 0, 0, -0.2
43130, 1.02614, 0.767646, 2.04096, -9.7193, -9.68073, 1.4025, 1.4025, -0.404096, 0, 0, 0, -0.2
43141, 1.85709, 1.59553, 2.23754, -9.71229, -9.67372, 0.697742, 0.701248, -0.423754, 0, 0, 0, -0.2
43151, 1.79037, 1.53164, 2.04096, -9.70528, -9.66671, 0.697742, 0.697742, -0.404096, 0, 0, 0, -0.2
43160, 0.960001, 1.00757, 2.04096, -9.68775, -9.65268, 1.75312, 1.4025, -0.404096, 0, 0, 0, -0.2
43170, 1.09531, 0.250939, 2.16987, -9.67021, -9.63165, 1.74961, 2.44736, -0.416987, 0, 0, 0, -0.2
