QGPIORecord, QRC v6.1.0, 16-12-2024 @ 20:41:32, Windows 10 Version 2009, 10.0.19045, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
7400, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
7410, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
7420, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
7430, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
7440, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
7450, 0, 0, 0, 0, 0, 0, 0, -0.410438, -2, 0, 0, 0
7460, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
7470, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
7480, 0, 0, 0, 0, 0, 0, 0, -0.386225, -2, 0, 0, 0
7490, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
7500, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
7511, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
7520, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
7530, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
7540, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
7550, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
7560, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
7570, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
7580, 0, 0, 0, 0, 0, 0, 0, -0.410438, -2, 0, 0, 0
7590, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
7600, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
7610, 0, 0, 0, 0, 0, 0, 0, -0.430751, -2, 0, 0, 0
7620, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
7630, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
7641, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
7650, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
7660, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
7670, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
7681, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
7690, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
7700, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
7710, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
7720, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
7730, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
