QGPIORecord, QRC v6.1.0, 14-12-2024 @ 23:13:22, Windows 10 Version 2009, 10.0.19045, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
75220, 0, 0, 0, 0, 0, 0, 0, -0.391999, -2, 0, 0, 0
75230, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
75240, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
75250, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
75260, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
75270, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
75280, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
75290, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
75300, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
75310, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
75320, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
75330, 0, 0, 0, 0, 0, 0, 0, -0.410438, -2, 0, 0, 0
75340, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
75351, 0, 0, 0, 0, 0, 0, 0, -0.391999, -2, 0, 0, 0
75360, 0, 0, 0, 0, 0, 0, 0, -0.397953, -2, 0, 0, 0
75370, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
75380, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
75390, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
75400, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
75410, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
75420, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
75430, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
75440, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
75450, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
75460, 0, 0, 0, 0, 0, 0, 0, -0.410438, -2, 0, 0, 0
75470, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
75481, 0, 0, 0, 0, 0, 0, 0, -0.391999, -2, 0, 0, 0
75490, 0, 0, 0, 0, 0, 0, 0, -0.386225, -2, 0, 0, 0
75500, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
75510, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
75521, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
75530, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
75540, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
75550, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
75560, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
75570, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
75580, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
75590, 0, 0, 0, 0, 0, 0, 0, -0.410438, -2, 0, 0, 0
75600, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
75610, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
75620, 0, 0, 0, 0, 0, 0, 0, -0.380624, -2, 0, 0, 0
