QGPIORecord, QRC v6.1.0, 14-12-2024 @ 22:50:06, Windows 10 Version 2009, 10.0.19045, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
52040, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.401, -0.0178711, 0, 0
52050, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.401, -0.0178711, 0, 0
52060, 0, 0, 0, 0, 0, 0, 0, -0.380624, -0.401, -0.0178711, 0, 0
52070, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.401, -0.0178711, 0, 0
52080, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.401, -0.0178711, 0, 0
52090, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.401, -0.0178711, 0, 0
52100, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.401, -0.0178711, 0, 0
52110, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.401, -0.0178711, 0, 0
52120, 0, 0, 0, 0, 0, 0, 0, -0.380624, -0.401, -0.0178711, 0, 0
52130, 0, 0, 0, 0, 0, 0, 0, -0.369908, -0.401, -0.0178711, 0, 0
52141, 0, 0, 0, 0, 0, 0, 0, -0.386225, -0.401, -0.0178711, 0, 0
52150, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.401, -0.0178711, 0, 0
52160, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.401, -0.0178711, 0, 0
52170, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.401, -0.0178711, 0, 0
52180, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.401, -0.0178711, 0, 0
52190, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.401, -0.0178711, 0, 0
52200, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.401, -0.0178711, 0, 0
52210, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.401, -0.0178711, 0, 0
52220, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.401, -0.0178711, 0, 0
52230, 0, 0, 0, 0, 0, 0, 0, -0.380624, -0.401, -0.0178711, 0, 0
52240, 0, 0, 0, 0, 0, 0, 0, -0.380624, -0.401, -0.0178711, 0, 0
52250, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.401, -0.0178711, 0, 0
52260, 0, 0, 0, 0, 0, 0, 0, -0.410438, -0.401, -0.0178711, 0, 0
52270, 0, 0, 0, 0, 0, 0, 0, -0.36478, -0.401, -0.0178711, 0, 0
52280, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.401, -0.0178711, 0, 0
52290, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.401, -0.0178711, 0, 0
52300, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.401, -0.0178711, 0, 0
52311, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.401, -0.0178711, 0, 0
