QGPIORecord, QRC v6.1.0, 16-12-2024 @ 21:49:50, Windows 10 Version 2009, 10.0.19045, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
19230, 0, 0, 0, 0, 0, 0, 0, -0.410438, -0.4, 0, 0, 0
19240, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.4, 0, 0, 0
19250, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.4, 0, 0, 0
19260, 0, 0, 0, 0, 0, 0, 0, -0.391999, -0.4, 0, 0, 0
19270, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.4, 0, 0, 0
19280, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.4, 0, 0, 0
19290, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.4, 0, 0, 0
19300, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.4, 0, 0, 0
19310, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.4, 0, 0, 0
19320, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.4, 0, 0, 0
19331, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.4, 0, 0, 0
19340, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.4, 0, 0, 0
19350, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.4, 0, 0, 0
19360, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.4, 0, 0, 0
19371, 0, 0, 0, 0, 0, 0, 0, -0.410438, -0.4, 0, 0, 0
19380, 0, 0, 0, 0, 0, 0, 0, -0.380624, -0.4, 0, 0, 0
19390, 0, 0, 0, 0, 0, 0, 0, -0.36478, -0.4, 0, 0, 0
19400, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.4, 0, 0, 0
19410, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.4, 0, 0, 0
19420, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.4, 0, 0, 0
19430, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.4, 0, 0, 0
19440, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.4, 0, 0, 0
