QGPIORecord, QRC v6.1.0, 30-11-2024 @ 10:54:57, Windows 10 Version 2009, 10.0.19045, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
19971, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19980, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19990, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20011, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20030, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20040, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20050, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20060, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20070, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20080, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20240, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20271, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20280, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20311, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20340, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20350, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20380, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20390, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20410, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20420, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20430, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20441, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20450, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20460, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20470, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20481, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20490, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20510, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20520, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20530, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20540, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20550, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20570, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20580, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20590, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20611, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20620, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20630, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20640, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20651, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20660, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20670, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20680, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20690, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20710, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20720, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20730, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20740, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20750, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20760, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20770, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20781, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20790, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20800, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20810, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20820, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20830, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20840, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20850, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20870, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20880, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20890, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20911, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20920, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20930, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20940, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20951, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20960, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20970, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20980, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20990, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21030, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21040, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21050, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21061, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21070, 0, 0, 12, 12, 12, 10.4832, 10.4832, 0, 0, 0, 0, 0
21081, 0, 0, 12, 12, 12, 11.3016, 11.3016, 0, 0, 0, 0, 0
21091, 0, 0, 12, 6.0464, 5.73435, 6.91894, 6.64632, 5.9536, 6.26565, 0, 0, 0
21100, 0, 0, 12, -1.31671, -0.976601, 0.898888, 1.17472, 13.3167, 12.9766, 0, 0, 0
21110, 0, 0, 12, -2.74375, -2.02847, -0.437573, 0.189202, 14.7437, 14.0285, 0, 0, 0
21121, 0, 0, 12, 2.53315, 2.86975, 3.9852, 4.32995, 9.46685, 9.13025, 0, 0, 0
21131, 0, 0, 12, 8.50077, 8.50077, 9.37127, 9.44493, 3.49923, 3.49923, 0, 0, 0
21140, 0, 0, 12, 9.19501, 8.84438, 10.5575, 10.3249, 2.80499, 3.15562, 0, 0, 0
21150, 0, 0, 12, 3.58853, 4.28627, 6.28679, 6.94607, 8.41147, 7.71373, 0, 0, 0
21160, 0, 0, 12, -1.32722, -1.31671, 2.23713, 2.34364, 13.3272, 13.3167, 0, 0, 0
21171, 0, 0, 12, -2.35806, -2.35105, 1.24607, 1.35024, 14.3581, 14.351, 0, 0, 0
21180, 0, 0, 12, 2.1685, 2.16149, 5.03965, 5.13205, 9.8315, 9.83851, 0, 0, 0
21190, 0, 0, 12, 6.74414, 6.74414, 9.18483, 9.28287, 5.25586, 5.25586, 0, 0, 0
21200, 0, 0, 12, 6.73713, 6.40404, 9.63865, 9.44571, 5.26287, 5.59596, 0, 0, 0
21211, 0, 0, 12, 2.17902, 2.50159, 6.11616, 6.47328, 9.82098, 9.49841, 0, 0, 0
21221, 0, 0, 12, -1.62876, -1.61824, 2.93829, 3.0448, 13.6288, 13.6182, 0, 0, 0
21230, 0, 0, 12, -1.33774, -1.33774, 3.08144, 3.17948, 13.3377, 13.3377, 0, 0, 0
21240, 0, 0, 12, 1.82839, 1.47777, 5.75614, 5.54788, 10.1716, 10.5222, 0, 0, 0
21251, 0, 0, 12, 4.98752, 4.98401, 8.64065, 8.71172, 7.01248, 7.01599, 0, 0, 0
21261, 0, 0, 12, 4.64741, 4.99803, 8.68368, 9.06388, 7.35259, 7.00197, 0, 0, 0
21270, 0, 0, 12, 1.47076, 1.82138, 6.22551, 6.62962, 10.5292, 10.1786, 0, 0, 0
21280, 0, 0, 12, -1.30969, -1.30969, 3.89682, 4.01853, 13.3097, 13.3097, 0, 0, 0
21291, 0, 0, 12, -0.973095, -1.30969, 4.10155, 3.92921, 12.9731, 13.3097, 0, 0, 0
21301, 0, 0, 12, 1.47076, 1.13065, 6.17013, 5.97178, 10.5292, 10.8693, 0, 0, 0
21310, 0, 0, 12, 3.58151, 3.5745, 8.11439, 8.18383, 8.41849, 8.4255, 0, 0, 0
