QGPIORecord, QRC v6.1.0, 12-12-2024 @ 21:05:03, Windows 10 Version 2009, 10.0.19045, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
43510, 0, 0, 0, 0, 0, 0, 0, -0.127768, -4, 0, 0, 0
43521, 0, 0, 0, 0, 0, 0, 0, -0.127768, -4, 0, 0, 0
43530, 0, 0, 0, 0, 0, 0, 0, -0.128322, -4, 0, 0, 0
43540, 0, 0, 0, 0, 0, 0, 0, -0.127768, -4, 0, 0, 0
43550, 0, 0, 0, 0, 0, 0, 0, -0.127768, -4, 0, 0, 0
43560, 0, 0, 0, 0, 0, 0, 0, -0.128322, -4, 0, 0, 0
43570, 0, 0, 0, 0, 0, 0, 0, -0.127768, -4, 0, 0, 0
43580, 0, 0, 0, 0, 0, 0, 0, -0.128322, -4, 0, 0, 0
43590, 0, 0, 0, 0, 0, 0, 0, -0.128322, -4, 0, 0, 0
43600, 0, 0, 0, 0, 0, 0, 0, -0.127768, -4, 0, 0, 0
43610, 0, 0, 0, 0, 0, 0, 0, -0.126138, -4, 0, 0, 0
43620, 0, 0, 0, 0, 0, 0, 0, -0.127768, -4, 0, 0, 0
43630, 0, 0, 0, 0, 0, 0, 0, -0.127768, -4, 0, 0, 0
43640, 0, 0, 0, 0, 0, 0, 0, -0.127768, -4, 0, 0, 0
43651, 0, 0, 0, 0, 0, 0, 0, -0.127768, -4, 0, 0, 0
43660, 0, 0, 0, 0, 0, 0, 0, -0.128322, -4, 0, 0, 0
43670, 0, 0, 0, 0, 0, 0, 0, -0.127768, -4, 0, 0, 0
43680, 0, 0, 0, 0, 0, 0, 0, -0.127768, -4, 0, 0, 0
43691, 0, 0, 0, 0, 0, 0, 0, -0.128322, -4, 0, 0, 0
43700, 0, 0, 0, 0, 0, 0, 0, -0.127768, -4, 0, 0, 0
43710, 0, 0, 0, 0, 0, 0, 0, -0.128322, -4, 0, 0, 0
43720, 0, 0, 0, 0, 0, 0, 0, -0.128322, -4, 0, 0, 0
43730, 0, 0, 0, 0, 0, 0, 0, -0.127768, -4, 0, 0, 0
43740, 0, 0, 0, 0, 0, 0, 0, -0.130015, -4, 0, 0, 0
43750, 0, 0, 0, 0, 0, 0, 0, -0.127768, -4, 0, 0, 0
43760, 0, 0, 0, 0, 0, 0, 0, -0.127768, -4, 0, 0, 0
43770, 0, 0, 0, 0, 0, 0, 0, -0.127768, -4, 0, 0, 0
43780, 0, 0, 0, 0, 0, 0, 0, -0.127768, -4, 0, 0, 0
43790, 0, 0, 0, 0, 0, 0, 0, -0.127768, -4, 0, 0, 0
43800, 0, 0, 0, 0, 0, 0, 0, -0.127768, -4, 0, 0, 0
43810, 0, 0, 0, 0, 0, 0, 0, -0.127768, -4, 0, 0, 0
43821, 0, 0, 0, 0, 0, 0, 0, -0.128322, -4, 0, 0, 0
43830, 0, 0, 0, 0, 0, 0, 0, -0.127768, -4, 0, 0, 0
43840, 0, 0, 0, 0, 0, 0, 0, -0.127768, -4, 0, 0, 0
43850, 0, 0, 0, 0, 0, 0, 0, -0.128322, -4, 0, 0, 0
43860, 0, 0, 0, 0, 0, 0, 0, -0.127768, -4, 0, 0, 0
43870, 0, 0, 0, 0, 0, 0, 0, -0.128322, -4, 0, 0, 0
43880, 0, 0, 0, 0, 0, 0, 0, -0.126676, -4, 0, 0, 0
43890, 0, 0, 0, 0, 0, 0, 0, -0.127768, -4, 0, 0, 0
43900, 0, 0, 0, 0, 0, 0, 0, -0.128322, -4, 0, 0, 0
43910, 0, 0, 0, 0, 0, 0, 0, -0.127768, -4, 0, 0, 0
43920, 0, 0, 0, 0, 0, 0, 0, -0.128322, -4, 0, 0, 0
43930, 0, 0, 0, 0, 0, 0, 0, -0.127768, -4, 0, 0, 0
43940, 0, 0, 0, 0, 0, 0, 0, -0.127768, -4, 0, 0, 0
43950, 0, 0, 0, 0, 0, 0, 0, -0.128322, -4, 0, 0, 0
43960, 0, 0, 0, 0, 0, 0, 0, -0.127768, -4, 0, 0, 0
43970, 0, 0, 0, 0, 0, 0, 0, -0.127768, -4, 0, 0, 0
43980, 0, 0, 0, 0, 0, 0, 0, -0.128322, -4, 0, 0, 0
43991, 0, 0, 0, 0, 0, 0, 0, -0.127768, -4, 0, 0, 0
44001, 0, 0, 0, 0, 0, 0, 0, -0.128322, -4, 0, 0, 0
44010, 0, 0, 0, 0, 0, 0, 0, -0.128322, -0.805865, -3.87168, 0, 0
44020, 0, 0, 0, 0, 0, 0, 0, -0.127768, -0.246435, -0.678097, 0, 0
44030, 0, 0, 0, 0, 0, 0, 0, -0.126138, -0.14719, -0.120297, 0, 0
44040, 0, 0, 0, 0, 0, 0, 0, -0.127768, -0.131167, -0.0194218, 0, 0
44050, 0, 0, 0, 0, 0, 0, 0, -0.127768, -0.128363, -0.00339881, 0, 0
44060, 0, 0, 0, 0, 0, 0, 0, -0.127768, -0.127872, -0.000594795, 0, 0
44070, 0, 0, 0, 0, 0, 0, 0, -0.127768, -0.127786, -0.000104085, 0, 0
44081, 0, 0, 0, 0, 0, 0, 0, -0.128322, -0.128228, 0.000535518, 0, 0
44090, 0, 0, 0, 0, 0, 0, 0, -0.127768, -0.127848, -0.000460014, 0, 0
44100, 0, 0, 0, 0, 0, 0, 0, -0.127768, -0.127782, -8.04961e-05, 0, 0
44110, 0, 0, 0, 0, 0, 0, 0, -0.128322, -0.128227, 0.000539646, 0, 0
44121, 0, 0, 0, 0, 0, 0, 0, -0.127768, -0.127848, -0.000459284, 0, 0
44130, 0, 0, 0, 0, 0, 0, 0, -0.127768, -0.127782, -8.03769e-05, 0, 0
44140, 0, 0, 0, 0, 0, 0, 0, -0.128322, -0.128227, 0.00053966, 0, 0
44150, 0, 0, 0, 0, 0, 0, 0, -0.127768, -0.127848, -0.000459284, 0, 0
44161, 0, 0, 0, 0, 0, 0, 0, -0.13059, -0.13011, 0.00274177, 0, 0
44170, 0, 0, 0, 0, 0, 0, 0, -0.126138, -0.126833, -0.00397262, 0, 0
44180, 0, 0, 0, 0, 0, 0, 0, -0.127768, -0.127604, 0.000935063, 0, 0
44190, 0, 0, 0, 0, 0, 0, 0, -0.127768, -0.127739, 0.00016363, 0, 0
44200, 0, 0, 0, 0, 0, 0, 0, -0.127768, -0.127763, 2.864e-05, 0, 0
44210, 0, 0, 0, 0, 0, 0, 0, -0.127768, -0.127767, 5.00679e-06, 0, 0
44220, 0, 0, 0, 0, 0, 0, 0, -0.127768, -0.127768, 8.79169e-07, 0, 0
44230, 0, 0, 0, 0, 0, 0, 0, -0.127768, -0.127768, 1.49012e-07, 0, 0
44240, 0, 0, 0, 0, 0, 0, 0, -0.128322, -0.128225, 0.000553757, 0, 0
44251, 0, 0, 0, 0, 0, 0, 0, -0.127768, -0.127848, -0.000456825, 0, 0
44260, 0, 0, 0, 0, 0, 0, 0, -0.127768, -0.127782, -7.99447e-05, 0, 0
44270, 0, 0, 0, 0, 0, 0, 0, -0.128322, -0.128227, 0.000539735, 0, 0
44280, 0, 0, 0, 0, 0, 0, 0, -0.127768, -0.127848, -0.000459269, 0, 0
44291, 0, 0, 0, 0, 0, 0, 0, -0.128322, -0.128239, 0.00047335, 0, 0
44300, 0, 0, 0, 0, 0, 0, 0, -0.128322, -0.128307, 8.28356e-05, 0, 0
44310, 0, 0, 0, 0, 0, 0, 0, -0.127768, -0.127862, -0.000539228, 0, 0
44320, 0, 0, 0, 0, 0, 0, 0, -0.128322, -0.128241, 0.000459358, 0, 0
44331, 0, 0, 0, 0, 0, 0, 0, -0.127768, -0.127851, -0.000473335, 0, 0
44340, 0, 0, 0, 0, 0, 0, 0, -0.127768, -0.127782, -8.28356e-05, 0, 0
44350, 0, 0, 0, 0, 0, 0, 0, -0.127768, -0.12777, -1.44988e-05, 0, 0
44360, 0, 0, 0, 0, 0, 0, 0, -0.127768, -0.127768, -2.5332e-06, 0, 0
44370, 0, 0, 0, 0, 0, 0, 0, -0.127768, -0.127768, -4.47035e-07, 0, 0
44380, 0, 0, 0, 0, 0, 0, 0, -0.127768, -0.127768, -7.45058e-08, 0, 0
44390, 0, 0, 0, 0, 0, 0, 0, -0.127768, -0.127768, -1.49012e-08, 0, 0
44400, 0, 0, 0, 0, 0, 0, 0, -0.128322, -0.128225, 0.000553727, 0, 0
44410, 0, 0, 0, 0, 0, 0, 0, -0.127768, -0.127848, -0.000456825, 0, 0
44421, 0, 0, 0, 0, 0, 0, 0, -0.127768, -0.127782, -7.99447e-05, 0, 0
44430, 0, 0, 0, 0, 0, 0, 0, -0.128322, -0.128227, 0.000539735, 0, 0
44440, 0, 0, 0, 0, 0, 0, 0, -0.127768, -0.127848, -0.000459269, 0, 0
44450, 0, 0, 0, 0, 0, 0, 0, -0.125604, -0.125997, -0.00224403, 0, 0
44461, 0, 0, 0, 0, 0, 0, 0, -0.127768, -0.127458, 0.00177094, 0, 0
44470, 0, 0, 0, 0, 0, 0, 0, -0.127768, -0.127714, 0.000309914, 0, 0
44480, 0, 0, 0, 0, 0, 0, 0, -0.128322, -0.128215, 0.000607967, 0, 0
44490, 0, 0, 0, 0, 0, 0, 0, -0.127768, -0.127846, -0.000447333, 0, 0
44500, 0, 0, 0, 0, 0, 0, 0, -0.128322, -0.128238, 0.000475436, 0, 0
44510, 0, 0, 0, 0, 0, 0, 0, -0.127768, -0.12785, -0.000470519, 0, 0
44520, 0, 0, 0, 0, 0, 0, 0, -0.127768, -0.127782, -8.23438e-05, 0, 0
44530, 0, 0, 0, 0, 0, 0, 0, -0.128322, -0.128227, 0.000539318, 0, 0
44540, 0, 0, 0, 0, 0, 0, 0, -0.127768, -0.127848, -0.000459343, 0, 0
44551, 0, 0, 0, 0, 0, 0, 0, -0.127768, -0.127782, -8.03918e-05, 0, 0
44560, 0, 0, 0, 0, 0, 0, 0, -0.128322, -0.128227, 0.00053966, 0, 0
44570, 0, 0, 0, 0, 0, 0, 0, -0.127768, -0.127848, -0.000459284, 0, 0
44580, 0, 0, 0, 0, 0, 0, 0, -0.128322, -0.128239, 0.00047335, 0, 0
44591, 0, 0, 0, 0, 0, 0, 0, -0.126138, -0.126505, -0.00210117, 0, 0
44600, 0, 0, 0, 0, 0, 0, 0, -0.127768, -0.127547, 0.00126258, 0, 0
44610, 0, 0, 0, 0, 0, 0, 0, -0.127768, -0.127729, 0.000220954, 0, 0
44620, 0, 0, 0, 0, 0, 0, 0, -0.127768, -0.127761, 3.86685e-05, 0, 0
44631, 0, 0, 0, 0, 0, 0, 0, -0.127768, -0.127767, 6.76513e-06, 0, 0
44640, 0, 0, 0, 0, 0, 0, 0, -0.128322, -0.128225, 0.000554904, 0, 0
44650, 0, 0, 0, 0, 0, 0, 0, -0.127768, -0.127848, -0.000456616, 0, 0
44660, 0, 0, 0, 0, 0, 0, 0, -0.128322, -0.128239, 0.000473812, 0, 0
44670, 0, 0, 0, 0, 0, 0, 0, -0.127768, -0.12785, -0.000470817, 0, 0
44680, 0, 0, 0, 0, 0, 0, 0, -0.127768, -0.127782, -8.23885e-05, 0, 0
44690, 0, 0, 0, 0, 0, 0, 0, -0.128322, -0.128227, 0.000539303, 0, 0
44700, 0, 0, 0, 0, 0, 0, 0, -0.127768, -0.127848, -0.000459343, 0, 0
44710, 0, 0, 0, 0, 0, 0, 0, -0.127768, -0.127782, -8.03918e-05, 0, 0
44721, 0, 0, 0, 0, 0, 0, 0, -0.128322, -0.128227, 0.00053966, 0, 0
44730, 0, 0, 0, 0, 0, 0, 0, -0.127768, -0.127848, -0.000459284, 0, 0
44740, 0, 0, 0, 0, 0, 0, 0, -0.126676, -0.126881, -0.0011723, 0, 0
44750, 0, 0, 0, 0, 0, 0, 0, -0.127768, -0.127613, 0.000886768, 0, 0
44761, 0, 0, 0, 0, 0, 0, 0, -0.127768, -0.127741, 0.000155181, 0, 0
44770, 0, 0, 0, 0, 0, 0, 0, -0.127768, -0.127763, 2.71499e-05, 0, 0
44780, 0, 0, 0, 0, 0, 0, 0, -0.127768, -0.127767, 4.75347e-06, 0, 0
44790, 0, 0, 0, 0, 0, 0, 0, -0.128322, -0.128225, 0.000554562, 0, 0
