QGPIORecord, QRC v6.1.0, 14-12-2024 @ 21:18:50, Windows 10 Version 2009, 10.0.19045, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
19761, -0.177817, -0.481255, 0.204809, 6.08333, 6.08684, 0.347118, 0.697742, -0.404096, 0, 0, 0, -0.4
19770, 0.422025, 0.0946743, 0.204809, 6.07982, 6.08684, -0.350624, 0, -0.404096, 0, 0, 0, -0.4
19780, 0.153601, 0.721253, 0.204809, 6.07982, 6.07982, 0, -0.701248, -0.404096, 0, 0, 0, -0.4
19790, 0.473874, 0.473678, 0.204809, 6.07632, 6.07632, -0.350624, -0.347118, -0.404096, 0, 0, 0, -0.4
19801, 0.205449, -0.0982285, 0.204809, 6.07632, 6.07982, 0, 0.350624, -0.404096, 0, 0, 0, -0.4
19810, 0.219417, -0.10511, 0.204809, 6.07632, 6.08333, 0, 0.347118, -0.404096, 0, 0, 0, -0.4
19820, 0.204071, 0.162175, 0.521877, 6.07982, 6.08684, 0.350624, 0.347118, -0.410438, 0, 0, 0, -0.4
19830, 0.245064, 0.200345, 0.204809, 6.07982, 6.08684, 0, 0, -0.404096, 0, 0, 0, -0.4
19841, -0.269382, -0.314101, -0.40006, 6.07982, 6.08684, 0, 0, -0.391999, 0, 0, 0, -0.4
19851, -0.296666, -0.341385, -0.40006, 6.07982, 6.08684, 0, 0, -0.391999, 0, 0, 0, -0.4
19860, 0.204464, 0.46605, 0.204809, 6.07982, 6.08333, 0, -0.350624, -0.404096, 0, 0, 0, -0.4
19870, 0.218432, 0.197626, 0.204809, 6.07982, 6.08333, 0, 0, -0.404096, 0, 0, 0, -0.4
19880, 0.2324, 0.211593, 0.204809, 6.07982, 6.08333, 0, 0, -0.404096, 0, 0, 0, -0.4
19891, 0.246368, 0.225561, 0.204809, 6.07982, 6.08333, 0, 0, -0.404096, 0, 0, 0, -0.4
19900, 0.260336, 0.239529, 0.204809, 6.07982, 6.08333, 0, 0, -0.404096, 0, 0, 0, -0.4
19910, 0.274304, 0.253497, 0.204809, 6.07982, 6.08333, 0, 0, -0.404096, 0, 0, 0, -0.4
19920, 0.288272, 0.267465, 0.204809, 6.07982, 6.08333, 0, 0, -0.404096, 0, 0, 0, -0.4
19931, 0.30224, 0.281433, 0.204809, 6.07982, 6.08333, 0, 0, -0.404096, 0, 0, 0, -0.4
19940, 0.316208, 0.295401, 0.204809, 6.07982, 6.08333, 0, 0, -0.404096, 0, 0, 0, -0.4
19950, 0.607167, 0.58636, 0.521877, 6.07982, 6.08333, 0, 0, -0.410438, 0, 0, 0, -0.4
19960, -0.659513, -0.680319, -0.968818, 6.07982, 6.08333, 0, 0, -0.380624, 0, 0, 0, -0.4
19971, -1.03189, -1.04964, -0.968818, 6.08333, 6.08684, 0.350624, 0.347118, -0.380624, 0, 0, 0, -0.4
19981, 0.789942, 0.769374, 0.521877, 6.07982, 6.08333, -0.347118, -0.347118, -0.410438, 0, 0, 0, -0.4
19990, 1.18789, 1.16732, 0.204809, 6.0693, 6.07281, -1.05187, -1.05187, -0.404096, 0, 0, 0, -0.4
20000, 0.35468, 0.334112, 0.204809, 6.0693, 6.07281, 0, 0, -0.404096, 0, 0, 0, -0.4
20011, -1.80996, -1.82746, -1.24065, 6.07982, 6.08333, 1.04837, 1.04486, -0.375187, 0, 0, 0, -0.4
20021, -1.42229, -1.44568, -0.968818, 6.08684, 6.09034, 0.697742, 0.701248, -0.380624, 0, 0, 0, -0.4
20030, 0.295755, 0.275187, -0.968818, 6.07281, 6.07982, -1.39899, -1.39899, -0.380624, 0, 0, 0, -0.4
20040, 0.328155, 0.613893, -0.968818, 6.05879, 6.05879, -1.4025, -1.75312, -0.380624, 0, 0, 0, -0.4
20050, -0.561184, -0.557838, -0.968818, 6.05528, 6.05528, -0.350624, -0.350624, -0.380624, 0, 0, 0, -0.4
