QGPIORecord, QRC v6.1.0, 16-12-2024 @ 20:40:54, Windows 10 Version 2009, 10.0.19045, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
12020, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
12030, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
12040, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
12050, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
12060, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
12070, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
12080, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
12090, 0, 0, 0, 0, 0, 0, 0, -0.410438, -2, 0, 0, 0
12100, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
12110, 0, 0, 0, 0, 0, 0, 0, -0.410438, -2, 0, 0, 0
12120, 0, 0, 0, 0, 0, 0, 0, -0.386225, -2, 0, 0, 0
12130, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
12140, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
12150, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
12161, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
12170, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
12180, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
12190, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
12200, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
12210, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
12220, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
12230, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
12240, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
12250, 0, 0, 0, 0, 0, 0, 0, -0.416987, -2, 0, 0, 0
12260, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
12270, 0, 0, 0, 0, 0, 0, 0, -0.375187, -2, 0, 0, 0
12280, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
12291, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
12300, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
12310, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
12320, 0, 0, 0, 0, 0, 0, 0, -0.404096, -2, 0, 0, 0
