QGPIORecord, QRC v6.1.0, 14-12-2024 @ 22:52:12, Windows 10 Version 2009, 10.0.19045, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
54560, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
54571, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
54580, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
54590, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
54600, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
54610, 0, 0, 0, 0, 0, 0, 0, -0.410438, -0.1, 0.00634137, 0, 0
54620, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
54630, 0, 0, 0, 0, 0, 0, 0, -0.380624, -0.1, 0.00634137, 0, 0
54640, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
54650, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
54660, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
54670, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
54680, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
54690, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
54701, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
54710, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
54720, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
54730, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
54740, 0, 0, 0, 0, 0, 0, 0, -0.410438, -0.1, 0.00634137, 0, 0
54750, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
54760, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
54770, 0, 0, 0, 0, 0, 0, 0, -0.369908, -0.1, 0.00634137, 0, 0
54780, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
54790, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
54800, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
54810, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
54820, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
54830, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
54840, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
54850, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
54860, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
54871, 0, 0, 0, 0, 0, 0, 0, -0.410438, -0.1, 0.00634137, 0, 0
54880, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
54890, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
54900, 0, 0, 0, 0, 0, 0, 0, -0.386225, -0.1, 0.00634137, 0, 0
54910, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
54920, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
54930, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
54940, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
54950, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
54960, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
54970, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
54980, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
54990, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
55001, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
55010, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
55020, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
55030, 0, 0, 0, 0, 0, 0, 0, -0.391999, -0.1, 0.00634137, 0, 0
55041, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
55050, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
55060, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
55070, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
55080, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
55090, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
55100, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
55110, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
55120, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
55130, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
55140, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
55150, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
55160, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
55171, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
55180, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
55190, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
55200, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
55211, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
55220, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
55230, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
55240, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
55250, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
55260, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.1, 0.00634137, 0, 0
