QGPIORecord, QRC v6.1.0, 16-12-2024 @ 21:48:14, Windows 10 Version 2009, 10.0.19045, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
18080, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.8, 0, 0, 0
18091, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.8, 0, 0, 0
18100, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.8, 0, 0, 0
18110, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.8, 0, 0, 0
18120, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.8, 0, 0, 0
18130, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.8, 0, 0, 0
18140, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.8, 0, 0, 0
18150, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.8, 0, 0, 0
18160, 0, 0, 0, 0, 0, 0, 0, -0.410438, -0.8, 0, 0, 0
18170, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.8, 0, 0, 0
18180, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.8, 0, 0, 0
18190, 0, 0, 0, 0, 0, 0, 0, -0.386225, -0.8, 0, 0, 0
18200, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.8, 0, 0, 0
18210, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.8, 0, 0, 0
18221, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.8, 0, 0, 0
18230, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.8, 0, 0, 0
18240, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.8, 0, 0, 0
18250, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.8, 0, 0, 0
18260, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.8, 0, 0, 0
18270, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.8, 0, 0, 0
18280, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.8, 0, 0, 0
18290, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.8, 0, 0, 0
18300, 0, 0, 0, 0, 0, 0, 0, -0.410438, -0.8, 0, 0, 0
18310, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.8, 0, 0, 0
18320, 0, 0, 0, 0, 0, 0, 0, -0.386225, -0.8, 0, 0, 0
18330, 0, 0, 0, 0, 0, 0, 0, -0.375187, -0.8, 0, 0, 0
18340, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.8, 0, 0, 0
18351, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.8, 0, 0, 0
18360, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.8, 0, 0, 0
18370, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.8, 0, 0, 0
18380, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.8, 0, 0, 0
18391, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.8, 0, 0, 0
18400, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.8, 0, 0, 0
18410, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.8, 0, 0, 0
18420, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.8, 0, 0, 0
18430, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.8, 0, 0, 0
18440, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.8, 0, 0, 0
18450, 0, 0, 0, 0, 0, 0, 0, -0.410438, -0.8, 0, 0, 0
18460, 0, 0, 0, 0, 0, 0, 0, -0.386225, -0.8, 0, 0, 0
18470, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.8, 0, 0, 0
18480, 0, 0, 0, 0, 0, 0, 0, -0.404096, -0.8, 0, 0, 0
