QGPIORecord, QRC v6.1.0, 18-12-2024 @ 17:05:37, Windows 10 Version 2009, 10.0.19045, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
10423, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10433, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10443, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10454, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10463, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10473, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10483, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10493, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10503, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10513, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10523, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10533, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10544, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10553, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10563, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10573, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10584, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10593, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10603, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10613, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10624, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10633, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10643, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10653, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10663, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10673, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10683, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10693, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10703, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10714, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10723, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10733, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10743, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10754, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10763, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10773, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10783, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10793, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10803, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10813, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10823, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10833, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10843, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10853, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10863, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10873, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10884, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10893, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10904, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10913, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10924, 0, 0.000229582, -0.00170061, 0, 0, 0, 0, 0, 0, 0, 0, 0
10934, 0, 0.000459188, -0.00193196, 0.0198351, 0, 0, 0, 0, 0, 0, 0, 0
10943, 0, 0.000688793, -0.00196343, 0.0423684, 0, 0, 0, 0, 0, 0, 0, 0
10953, 0, 0.00126548, -0.00196771, 0.0652689, 0, 0, 0, 0, 0, 0, 0.000347118, 0
10963, 0, 0.00207359, 0.000893786, 0.105978, 0, 0, 0, 0, 0, 0, 0.000925648, 0.00153548
10974, 0, 0.00288173, 0.0025985, 0.13107, 0, 0, 0, 0, 0, 0, 0.00150418, 0.00307096
10984, 0, 0.00380556, 0.00987, 0.189555, 0, 0, 0, 0, 0, 0, 0.00219841, 0.0076774
10993, 0, 0.00496079, 0.0148055, 0.216503, 0, 0, 0, 0, 0, 0, 0.00312406, 0.0122838
11003, 0, 0.00623151, 0.0251491, 0.274679, 0, 0, 0, 0, 0, 0, 0.00416542, 0.0199612
11014, 0, 0.00784955, 0.0331317, 0.301004, 0, 0, 0, 0, 0, 0, 0.00555389, 0.0276386
11024, 0, 0.00981471, 0.0436569, 0.340775, 0, 0, 0, 0, 0, 0, 0.00728948, 0.0368515
11033, 0, 0.0117799, 0.0558435, 0.382095, 0, 0, 0, 0, 0, 0, 0.00902507, 0.0475999
11043, 0, 0.0138608, 0.0667094, 0.405585, 0, 0, 0, 0, 0, 0, 0.0108764, 0.0583483
11054, 0, 0.0161731, 0.0802577, 0.444409, 0, 0, 0, 0, 0, 0, 0.0129591, 0.0706321
11064, 0, 0.0187168, 0.0954864, 0.485038, 0, 0, 0, 0, 0, 0, 0.0152732, 0.0844514
11074, 0, 0.0214919, 0.109397, 0.507873, 0, 0, 0, 0, 0, 0, 0.0178187, 0.0982707
11083, 0, 0.0246141, 0.123128, 0.528287, 0, 0, 0, 0, 0, 0, 0.0207114, 0.11209
11094, 0, 0.0277364, 0.139697, 0.566131, 0, 0, 0, 0, 0, 0, 0.023604, 0.127445
11104, 0, 0.0312057, 0.155106, 0.588307, 0, 0, 0, 0, 0, 0, 0.0268438, 0.1428
11114, 0, 0.0346751, 0.173218, 0.626109, 0, 0, 0, 0, 0, 0, 0.0300836, 0.15969
11123, 0, 0.0383758, 0.18729, 0.63024, 0, 0, 0, 0, 0, 0, 0.0335547, 0.175045
11133, 0, 0.042308, 0.202359, 0.647829, 0, 0, 0, 0, 0, 0, 0.0372573, 0.1904
11144, 0, 0.0465873, 0.217563, 0.667249, 0, 0, 0, 0, 0, 0, 0.041307, 0.205754
11154, 0, 0.0509823, 0.232786, 0.686919, 0, 0, 0, 0, 0, 0, 0.0454725, 0.221109
11164, 0, 0.0554928, 0.248013, 0.706622, 0, 0, 0, 0, 0, 0, 0.0497536, 0.236464
11173, 0, 0.0603506, 0.260375, 0.708551, 0, 0, 0, 0, 0, 0, 0.0543818, 0.250283
11184, 0, 0.0653241, 0.273896, 0.726122, 0, 0, 0, 0, 0, 0, 0.0591258, 0.264103
11194, 0, 0.0705291, 0.287574, 0.74582, 0, 0, 0, 0, 0, 0, 0.0641011, 0.277922
11204, 0, 0.0758497, 0.298411, 0.748049, 0, 0, 0, 0, 0, 0, 0.0691922, 0.290206
11214, 0, 0.0815175, 0.307547, 0.748184, 0, 0, 0, 0, 0, 0, 0.0746303, 0.300954
11224, 0, 0.087301, 0.317998, 0.766071, 0, 0, 0, 0, 0, 0, 0.0801842, 0.311703
11234, 0, 0.0934315, 0.325766, 0.768616, 0, 0, 0, 0, 0, 0, 0.0860853, 0.320915
11244, 0, 0.0996778, 0.331853, 0.769354, 0, 0, 0, 0, 0, 0, 0.092102, 0.328593
11253, 0, 0.105926, 0.340959, 0.787886, 0, 0, 0, 0, 0, 0, 0.0983501, 0.33627
11264, 0, 0.112521, 0.343051, 0.753486, 0, 0, 0, 0, 0, 0, 0.104945, 0.340877
11274, 0, 0.119232, 0.347282, 0.747964, 0, 0, 0, 0, 0, 0, 0.111656, 0.345483
11284, 0, 0.125827, 0.348941, 0.728612, 0, 0, 0, 0, 0, 0, 0.118252, 0.348554
11294, 0, 0.132307, 0.351798, 0.725418, 0, 0, 0, 0, 0, 0, 0.124731, 0.351625
11303, 0, 0.138902, 0.349093, 0.688905, 0, 0, 0, 0, 0, 0, 0.131326, 0.351625
11314, 0, 0.145844, 0.343001, 0.648421, 0, 0, 0, 0, 0, 0, 0.138269, 0.348554
11324, 0, 0.152787, 0.339542, 0.643475, 0, 0, 0, 0, 0, 0, 0.145211, 0.345483
11334, 0, 0.159845, 0.330716, 0.607847, 0, 0, 0, 0, 0, 0, 0.152269, 0.339341
11343, 0, 0.166787, 0.321392, 0.586365, 0, 0, 0, 0, 0, 0, 0.159211, 0.331664
11354, 0, 0.173961, 0.307822, 0.54933, 0, 0, 0, 0, 0, 0, 0.166385, 0.320915
11364, 0, 0.181135, 0.293906, 0.528499, 0, 0, 0, 0, 0, 0, 0.173559, 0.308632
11374, 0, 0.188309, 0.281489, 0.527911, 0, 0, 0, 0, 0, 0, 0.180733, 0.296348
11383, 0, 0.195482, 0.263552, 0.49456, 0, 0, 0, 0, 0, 0, 0.187907, 0.280993
11394, 0, 0.202656, 0.245096, 0.475072, 0, 0, 0, 0, 0, 0, 0.19508, 0.264103
