QGPIORecord, QRC v6.1.0, 19-12-2024 @ 12:12:20, Windows 10 Version 2009, 10.0.19045, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
9213, 0, 0, 0, 0, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0, 0
9223, 0, 0, 0, 0, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0, 0
9233, 0, 0, 0, 0, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0, 0
9243, 0, 0, 0, 0, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0, 0
9253, 0, 0, 0, 0, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0, 0
9264, 0, 0, 0, 0, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0, 0
9273, 0, 0, 0, 0, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0, 0
9283, 0, 0, 0, 0, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0, 0
9293, 0, 0, 0, 0, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0, 0
9304, 0, 0, 0, 0, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0, 0
9313, 0, 0, 0, 0, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0, 0
9323, 0, 0, 0, 0, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0, 0
9333, 0, 0, 0, 0, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0, 0
9344, 0, 0, 0, 0, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0, 0
9353, 0, 0, 0, 0, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0, 0
9363, 0, 0, 0, 0, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0, 0
9373, 0, 0, 0, 0, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0, 0
9383, 0, 0, 0, 0, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0, 0
9393, 0, 0, 0, 0, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0, 0
9403, 0, 0, 0, 0, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0, 0
9413, 0, 0, 0, 0, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0, 0
9423, 0, 0, 0, 0, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0, 0
9434, 0, 0, 0, 0, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0, 0
9443, 0, 0, 0, 0, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0, 0
9453, 0, 0, 0, 0, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0, 0
9463, 0, 0, 0, 0, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0, 0
9474, 0, 0, 0, 0, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0, 0
9483, 0, 0, 0, 0, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0, 0
9493, 0, 0, 0, 0, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0, 0
9503, 0, 0, 0, 0, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0, 0
9513, 0, 0, 0, 0, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0, 0
9523, 0, 0, 0, 0, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0, 0
9533, 0, 0, 0, 0, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0, 0
9543, 0, 0, 0, 0, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0, 0
9553, 0, 0, 0, 0, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0, 0
9563, 0, 0, 0, 0, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0, 0
9573, 0, 0, 0, 0, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0, 0
9583, 0, 0, 0, 0, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0, 0
9593, 0, 0, 0, 0, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0, 0
9604, 0, 0, 0, 0, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0, 0
9613, 0, 0, 0, 0, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0, 0
9623, 0, 0, 0, 0, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0, 0
9633, 0, 0, 0, 0, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0, 0
9644, 0, 0, 0, 0, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0, 0
9653, 0, 0, 0, 0, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0, 0
9663, 0, 0, 0, 0, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0, 0
9673, 0, 0, 0, 0, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0, 0
9683, 0, 0, 0, 0, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0, 0
9694, 0, 0, 0, 0, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0, 0
9703, 0, 0, 0, 0, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0, 0
9713, 0, 0.000229582, -0.00169845, 8.33614e-05, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0, 0
9723, 0, 0.000459188, -0.00252088, 0.0119655, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0, 0
9734, 0, 0.000688793, -0.00291909, 0.0295612, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0, 0
9744, 0.000231412, 0.00114979, -0.00311187, 0.0499237, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0.000231412, 0
9753, 0.00037124, 0.0017265, -0.00552151, 0.0611849, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0.00057853, -0.00153548
9763, 0.000303778, 0.00230322, -0.00978545, 0.0682282, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0.000925648, -0.00460644
9774, 0.000583434, 0.00322703, -0.0134118, 0.0838594, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0.00161988, -0.0076774
9784, 0.000564217, 0.00426656, -0.021362, 0.0827671, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0.00242983, -0.0138193
9793, 0.000776411, 0.00553727, -0.0283332, 0.0948373, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0.00347118, -0.0199612
9803, 0.000805438, 0.00703962, -0.0394665, 0.0923875, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0.00474395, -0.0291741
9814, 0.00106588, 0.00877338, -0.0495424, 0.104179, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0.00624812, -0.038387
9824, 0.00135044, 0.0107385, -0.0614226, 0.112426, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0.00798371, -0.0491354
9834, 0.0017507, 0.0128194, -0.0726409, 0.129587, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0.00983501, -0.0598837
9843, 0.00205939, 0.015016, -0.0858551, 0.140623, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0.011802, -0.0721676
9853, 0.00271519, 0.0175597, -0.0985002, 0.159325, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0.0141161, -0.0844514
9864, 0.00339511, 0.0203348, -0.113186, 0.171296, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0.0166617, -0.0982707
9874, 0.00419074, 0.0232257, -0.127325, 0.19064, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0.0193229, -0.11209
9883, 0.00521778, 0.0263479, -0.141198, 0.213553, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0.0222155, -0.125909
9893, 0.00615324, 0.0295858, -0.15726, 0.227753, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0.0252239, -0.141264
9904, 0.00752739, 0.0330552, -0.170529, 0.258807, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0.0284637, -0.155084
9914, 0.00904138, 0.0368717, -0.186298, 0.276949, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0.0320506, -0.170438
9924, 0.0107868, 0.0409195, -0.201741, 0.29947, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0.0358689, -0.185793
9933, 0.0128552, 0.0450831, -0.214711, 0.334552, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0.0398029, -0.199612
9944, 0.0150393, 0.0493624, -0.228019, 0.365087, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0.0438526, -0.213432
9954, 0.0174548, 0.0538729, -0.241488, 0.39342, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0.0481337, -0.227251
9964, 0.0202174, 0.0587307, -0.25504, 0.420674, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0.0527619, -0.24107
9973, 0.0234188, 0.06382, -0.266312, 0.457859, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0.0576216, -0.253354
9984, 0.0267358, 0.0690249, -0.278017, 0.489223, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0.0625969, -0.265638
9994, 0.0302842, 0.0744613, -0.289932, 0.517767, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0.0678037, -0.277922
10004, 0.0341557, 0.0800133, -0.299631, 0.555388, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0.0731262, -0.28867
10014, 0.0386973, 0.0860282, -0.307477, 0.597214, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0.0789115, -0.297883
10023, 0.0436775, 0.0922745, -0.313644, 0.640887, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0.0849282, -0.305561
10034, 0.0488892, 0.0987522, -0.320535, 0.674825, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0.0911763, -0.313238
10044, 0.0543081, 0.105, -0.323761, 0.714406, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0.0974244, -0.31938
10054, 0.0600742, 0.111596, -0.328446, 0.73433, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0.10402, -0.325522
10063, 0.0663706, 0.118306, -0.329205, 0.765618, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0.110731, -0.328593
10074, 0.0727827, 0.125133, -0.331134, 0.781148, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0.117557, -0.331664
10084, 0.0792863, 0.131844, -0.331313, 0.799489, 0.010001, 0, 2.05761, 0, 14.2444, 291.851, 0.124268, -0.333199
