QGPIORecord, QRC v6.1.0, 18-12-2024 @ 17:15:32, Windows 10 Version 2009, 10.0.19045, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
22883, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
22893, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
22903, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
22914, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
22923, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
22933, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
22943, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
22953, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
22963, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
22973, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
22983, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
22993, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23003, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23013, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23033, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23043, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23053, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23063, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23073, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23084, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23093, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23173, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23214, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23223, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23233, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23243, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23254, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23263, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23273, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23283, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23293, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23303, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23313, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23323, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23343, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23353, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23364, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23373, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23384, 0, 0.000229582, -0.00170061, 0, 0, 0, 0, 0, 0, 0, 0, 0
23393, 0, 0.000686463, -0.00397536, 0.00380309, 0, 0, 0, 0, 0, 0, 0, 0
23403, 0, 0.00136953, -0.00616222, 0.0126932, 0, 0, 0, 0, 0, 0, 0.000115706, 0
23413, 0, 0.00227769, -0.0079426, 0.0264738, 0, 0, 0, 0, 0, 0, 0.000347118, 0
23424, 0, 0.003411, -0.00922349, 0.0442359, 0, 0, 0, 0, 0, 0, 0.000809942, 0
