QGPIORecord, QRC v6.1.0, 19-12-2024 @ 12:15:26, Windows 10 Version 2009, 10.0.19045, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
10033, 0, 0, 0, 0, 0.000100501, 0, 0.00463626, 0, 0.0109492, 0.0609023, 0, 0
10043, 0, 0, 0, 0, 0.000100501, 0, 0.00463626, 0, 0.0109492, 0.0609023, 0, 0
10053, 0, 0, 0, 0, 0.000100501, 0, 0.00463626, 0, 0.0109492, 0.0609023, 0, 0
10063, 0, 0, 0, 0, 0.000100501, 0, 0.00463626, 0, 0.0109492, 0.0609023, 0, 0
10073, 0, 0, 0, 0, 0.000100501, 0, 0.00463626, 0, 0.0109492, 0.0609023, 0, 0
10083, 0, 0, 0, 0, 0.000100501, 0, 0.00463626, 0, 0.0109492, 0.0609023, 0, 0
10093, 0, 0, 0, 0, 0.000100501, 0, 0.00463626, 0, 0.0109492, 0.0609023, 0, 0
10103, 0, 0, 0, 0, 0.000100501, 0, 0.00463626, 0, 0.0109492, 0.0609023, 0, 0
10114, 0, 0, 0, 0, 0.000100501, 0, 0.00463626, 0, 0.0109492, 0.0609023, 0, 0
10123, 0, 0, 0, 0, 0.000100501, 0, 0.00463626, 0, 0.0109492, 0.0609023, 0, 0
10133, 0, 0, 0, 0, 0.000100501, 0, 0.00463626, 0, 0.0109492, 0.0609023, 0, 0
10143, 0, 0, 0, 0, 0.000100501, 0, 0.00463626, 0, 0.0109492, 0.0609023, 0, 0
10153, 0, 0, 0, 0, 0.000100501, 0, 0.00463626, 0, 0.0109492, 0.0609023, 0, 0
10163, 0, 0, 0, 0, 0.000100501, 0, 0.00463626, 0, 0.0109492, 0.0609023, 0, 0
10173, 0, 0, 0, 0, 0.000100501, 0, 0.00463626, 0, 0.0109492, 0.0609023, 0, 0
10183, 0, 0, 0, 0, 0.000100501, 0, 0.00463626, 0, 0.0109492, 0.0609023, 0, 0
10193, 0, 0, 0, 0, 0.000100501, 0, 0.00463626, 0, 0.0109492, 0.0609023, 0, 0
10203, 0, 0, 0, 0, 0.000100501, 0, 0.00463626, 0, 0.0109492, 0.0609023, 0, 0
10213, 0, 0, 0, 0, 0.000100501, 0, 0.00463626, 0, 0.0109492, 0.0609023, 0, 0
10223, 0, 0, 0, 0, 0.000100501, 0, 0.00463626, 0, 0.0109492, 0.0609023, 0, 0
10233, 0, 0, 0, 0, 0.000100501, 0, 0.00463626, 0, 0.0109492, 0.0609023, 0, 0
10244, 0, 0, 0, 0, 0.000100501, 0, 0.00463626, 0, 0.0109492, 0.0609023, 0, 0
10253, 0, 0, 0, 0, 0.000100501, 0, 0.00463626, 0, 0.0109492, 0.0609023, 0, 0
10263, 0, 0, 0, 0, 0.000100501, 0, 0.00463626, 0, 0.0109492, 0.0609023, 0, 0
10273, 0, 0, 0, 0, 0.000100501, 0, 0.00463626, 0, 0.0109492, 0.0609023, 0, 0
10284, 0, 0, 0, 0, 0.000100501, 0, 0.00463626, 0, 0.0109492, 0.0609023, 0, 0
10293, 0, 0, 0, 0, 0.000100501, 0, 0.00463626, 0, 0.0109492, 0.0609023, 0, 0
10303, 0, 0, 0, 0, 0.000100501, 0, 0.00463626, 0, 0.0109492, 0.0609023, 0, 0
10313, 0, 0, 0, 0, 0.000100501, 0, 0.00463626, 0, 0.0109492, 0.0609023, 0, 0
10323, 0, 0, 0, 0, 0.000100501, 0, 0.00463626, 0, 0.0109492, 0.0609023, 0, 0
10333, 0, 0, 0, 0, 0.000100501, 0, 0.00463626, 0, 0.0109492, 0.0609023, 0, 0
10343, 0, 0, 0, 0, 0.000100501, 0, 0.00463626, 0, 0.0109492, 0.0609023, 0, 0
10353, 0, 0, 0, 0, 0.000100501, 0, 0.00463626, 0, 0.0109492, 0.0609023, 0, 0
10363, 0, 0, 0, 0, 0.000100501, 0, 0.00463626, 0, 0.0109492, 0.0609023, 0, 0
10373, 0, 0, 0, 0, 0.000100501, 0, 0.00463626, 0, 0.0109492, 0.0609023, 0, 0
10383, 0, 0, 0, 0, 0.000100501, 0, 0.00463626, 0, 0.0109492, 0.0609023, 0, 0
10393, 0, 0, 0, 0, 0.000100501, 0, 0.00463626, 0, 0.0109492, 0.0609023, 0, 0
10403, 0, 0, 0, 0, 0.000100501, 0, 0.00463626, 0, 0.0109492, 0.0609023, 0, 0
10414, 0, 0, 0, 0, 0.000100501, 0, 0.00463626, 0, 0.0109492, 0.0609023, 0, 0
10423, 0, 0, 0, 0, 0.000100501, 0, 0.00463626, 0, 0.0109492, 0.0609023, 0, 0
10433, 0, 0, 0, 0, 0.000100501, 0, 0.00463626, 0, 0.0109492, 0.0609023, 0, 0
10443, 0, 0, 0, 0, 0.000100501, 0, 0.00463626, 0, 0.0109492, 0.0609023, 0, 0
10454, 0, 0, 0, 0, 0.000100501, 0, 0.00463626, 0, 0.0109492, 0.0609023, 0, 0
10463, 0, 0, 0, 0, 0.000100501, 0, 0.00463626, 0, 0.0109492, 0.0609023, 0, 0
10473, 0, 0, 0, 0, 0.000100501, 0, 0.00463626, 0, 0.0109492, 0.0609023, 0, 0
10483, 0, 0, 0, 0, 0.000100501, 0, 0.00463626, 0, 0.0109492, 0.0609023, 0, 0
