QGPIORecord, QRC v6.1.0, 18-12-2024 @ 17:13:27, Windows 10 Version 2009, 10.0.19045, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
7943, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7953, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7963, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7973, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7983, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7993, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8003, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8013, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8024, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8033, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8043, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8053, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8064, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8073, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8083, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8093, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8173, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8213, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8223, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8233, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
