QGPIORecord, QRC v6.1.0, 19-12-2024 @ 12:14:13, Windows 10 Version 2009, 10.0.19045, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
13954, 0, 0, 0, 0, 1.00541e-08, 0, 4.63626e-07, 0, 1.09492e-06, 6.09024e-06, 0, 0
13963, 0, 0, 0, 0, 1.0054e-08, 0, 4.63626e-07, 0, 1.09492e-06, 6.09024e-06, 0, 0
13973, 0, 0, 0, 0, 1.0054e-08, 0, 4.63626e-07, 0, 1.09492e-06, 6.09024e-06, 0, 0
13983, 0, 0, 0, 0, 1.00539e-08, 0, 4.63626e-07, 0, 1.09492e-06, 6.09024e-06, 0, 0
13993, 0, 0, 0, 0, 1.00538e-08, 0, 4.63626e-07, 0, 1.09492e-06, 6.09024e-06, 0, 0
14003, 0, 0, 0, 0, 1.00537e-08, 0, 4.63626e-07, 0, 1.09492e-06, 6.09024e-06, 0, 0
14013, 0, 0, 0, 0, 1.00537e-08, 0, 4.63626e-07, 0, 1.09492e-06, 6.09024e-06, 0, 0
14023, 0, 0, 0, 0, 1.00536e-08, 0, 4.63626e-07, 0, 1.09492e-06, 6.09024e-06, 0, 0
14033, 0, 0, 0, 0, 1.00535e-08, 0, 4.63626e-07, 0, 1.09492e-06, 6.09024e-06, 0, 0
14043, 0, 0, 0, 0, 1.00535e-08, 0, 4.63626e-07, 0, 1.09492e-06, 6.09024e-06, 0, 0
14053, 0, 0, 0, 0, 1.00534e-08, 0, 4.63626e-07, 0, 1.09492e-06, 6.09024e-06, 0, 0
14063, 0, 0, 0, 0, 1.00533e-08, 0, 4.63626e-07, 0, 1.09492e-06, 6.09024e-06, 0, 0
14073, 0, 0, 0, 0, 1.00533e-08, 0, 4.63626e-07, 0, 1.09492e-06, 6.09024e-06, 0, 0
14084, 0, 0, 0, 0, 1.00532e-08, 0, 4.63626e-07, 0, 1.09492e-06, 6.09024e-06, 0, 0
14093, 0, 0, 0, 0, 1.00531e-08, 0, 4.63626e-07, 0, 1.09492e-06, 6.09024e-06, 0, 0
