QGPIORecord, QRC v6.1.0, 18-12-2024 @ 20:07:55, Windows 10 Version 2009, 10.0.19045, x86_64
Time, ValueIn0, x1, x2, x3, P11, P12, P22, P13, P23, P33, y1, y2
13623, 0, 0.000115706, 0, 0, 1.00524e-08, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0.000115706, 0
13634, 0, 0.000115706, 0, 0, 1.00523e-08, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0.000115706, 0
13643, 0, 0.000115706, 0, 0, 1.00523e-08, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0.000115706, 0
13654, 0, 0.000115706, 0, 0, 1.00522e-08, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0.000115706, 0
13663, 0, 0.000115706, 0, 0, 1.00522e-08, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0.000115706, 0
13673, 0, 0.000115706, 0, 0, 1.00521e-08, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0.000115706, 0
13683, 0, 0.000115706, 0, 0, 1.00521e-08, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0.000115706, 0
13693, 0, 0.000115706, 0, 0, 1.00521e-08, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0.000115706, 0
13703, 0, 0.000115706, 0, 0, 1.0052e-08, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0.000115706, 0
13713, 0, 0.000115706, 0, 0, 1.0052e-08, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0.000115706, 0
13723, 0, 0.000115706, 0, 0, 1.0052e-08, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0.000115706, 0
13733, 0, 0.000115706, 0, 0, 1.00519e-08, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0.000115706, 0
13744, 0, 0.000115706, 0, 0, 1.00519e-08, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0.000115706, 0
13753, 0, 0.000115706, 0, 0, 1.00518e-08, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0.000115706, 0
13763, 0, 0.000115706, 0, 0, 1.00518e-08, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0.000115706, 0
13773, 0, 0.000115706, 0, 0, 1.00518e-08, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0.000115706, 0
13784, 0, 0.000115706, 0, 0, 1.00517e-08, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0.000115706, 0
13793, 0, 0.000115706, 0, 0, 1.00517e-08, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0.000115706, 0
13803, 0, 0.000115706, 0, 0, 1.00517e-08, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0.000115706, 0
13813, 0, 0.000115706, 0, 0, 1.00517e-08, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0.000115706, 0
13824, 0, 0.000115706, 0, 0, 1.00516e-08, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0.000115706, 0
13833, 0, 0.000115706, 0, 0, 1.00516e-08, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0.000115706, 0
13843, 0, 0.000115706, 0, 0, 1.00516e-08, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0.000115706, 0
13853, 0, 0.000115706, 0, 0, 1.00515e-08, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0.000115706, 0
13863, 0, 0.000115706, 0, 0, 1.00515e-08, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0.000115706, 0
13873, 0, 0.000115706, 0, 0, 1.00515e-08, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0.000115706, 0
13883, 0, 0.000115706, 0, 0, 1.00515e-08, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0.000115706, 0
13893, 0, 0.000115706, 0, 0, 1.00514e-08, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0.000115706, 0
13903, 0, 0.000115706, 0, 0, 1.00514e-08, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0.000115706, 0
13914, 0, 0.000115706, 0, 0, 1.00514e-08, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0.000115706, 0
13923, 0, 0.000115706, 0, 0, 1.00514e-08, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0.000115706, 0
13933, 0, 0.000115706, 0, 0, 1.00513e-08, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0.000115706, 0
13943, 0, 0.000115706, 0, 0, 1.00513e-08, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0.000115706, 0
13954, 0, 0.000115706, 0, 0, 1.00513e-08, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0.000115706, 0
13963, 0, 0.000115706, 0, 0, 1.00513e-08, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0.000115706, 0
13973, 0, 0.000115706, 0, 0, 1.00512e-08, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0.000115706, 0
