QGPIORecord, QRC v6.1.0, 19-12-2024 @ 12:09:53, Windows 10 Version 2009, 10.0.19045, x86_64
Time, ValueIn0, x1, x2, x3, P11, P12, P22, P13, P23, P33, y1, y2
14323, 0, 0, 0, 0, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
14333, 0, 0, 0, 0, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
14343, 0, 0, 0, 0, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
14353, 0, 0, 0, 0, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
14363, 0, 0, 0, 0, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
14373, 0, 0, 0, 0, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
14383, 0, 0, 0, 0, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
14393, 0, 0, 0, 0, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
14403, 0, 0, 0, 0, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
14413, 0, 0, 0, 0, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
14424, 0, 0, 0, 0, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
14433, 0, 0, 0, 0, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
14443, 0, 0, 0, 0, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
14453, 0, 0, 0, 0, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
14464, 0, 0, 0, 0, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
14473, 0, 0, 0, 0, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
14483, 0, 0, 0, 0, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
14493, 0, 0, 0, 0, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
14503, 0, 0, 0, 0, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
14514, 0, 0, 0, 0, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
14523, 0, 0, 0, 0, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
14533, 0, 0, 0, 0, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
14543, 0, 0, 0, 0, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
14553, 0, 0, 0, 0, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
14563, 0, 0, 0, 0, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
14573, 0, 0, 0, 0, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
14583, 0, 0, 0, 0, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
14594, 0, 0, 0, 0, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
14603, 0, 0, 0, 0, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
14613, 0, 0, 0, 0, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
14623, 0, 0, 0, 0, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
14633, 0, 0, 0, 0, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
14643, 0, 0, 0, 0, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
14653, 0, 0, 0, 0, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
14663, 0, 0, 0, 0, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
14673, 0, 0, 0, 0, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
14683, 0, 0, 0, 0, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
14693, 0, 0, 0, 0, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
14703, 0, 0, 0, 0, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
14713, 0, 0, 0, 0, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
14723, 0, 0, 0, 0, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
14733, 0, 0, 0, 0, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
14743, 0, 0, 0, 0, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
14753, 0, 0, 0, 0, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
14764, 0, 0, 0, 0, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
14773, 0, 0, 0, 0, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
14783, 0, 0, 0, 0, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
14793, 0, 0, 0, 0, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
14803, 0, 0, 0, 0, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
14814, 0, 0, 0, 0, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
14823, 0, 0.000229582, -0.00169845, 8.33614e-05, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
14833, 0, 0.000546858, -0.00253605, 0.0118709, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
14843, 0.000115706, 0.000969139, -0.00294097, 0.0294304, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.000115706, 0
14854, 0.000462824, 0.00157455, -0.00313661, 0.0497805, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.000462824, 0
14864, 0.000602652, 0.00224991, -0.00553374, 0.0611238, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.000809942, -0.00153548
14873, 0.000858186, 0.0030235, -0.00748937, 0.0785555, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.00127277, -0.00307096
14883, 0.000814846, 0.00390611, -0.013822, 0.078322, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.0018513, -0.0076774
14894, 0.00100292, 0.0049734, -0.0192589, 0.0904348, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.00266124, -0.0122838
14904, 0.00121511, 0.00625401, -0.0265341, 0.0983656, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.00370259, -0.0184258
14913, 0.00145143, 0.00775935, -0.035498, 0.104351, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.00497536, -0.0261032
14923, 0.00138887, 0.00942205, -0.0483613, 0.0992425, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.00636383, -0.0368515
14934, 0.00188072, 0.0113594, -0.0577805, 0.120115, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.00809942, -0.0460644
14944, 0.00195799, 0.0134016, -0.071616, 0.122598, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.00983501, -0.0583483
14954, 0.00205939, 0.0156269, -0.0868922, 0.12662, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.011802, -0.0721676
14963, 0.00271519, 0.0181367, -0.0990269, 0.152389, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.0141161, -0.0844514
14973, 0.00318782, 0.0208982, -0.115739, 0.157621, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.0166617, -0.0998062
14984, 0.00377616, 0.0238273, -0.131667, 0.173708, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.0193229, -0.115161
14994, 0.00459591, 0.0269634, -0.147186, 0.195246, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.0222155, -0.130516
15003, 0.00564707, 0.0303217, -0.162508, 0.219421, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.0253396, -0.145871
15013, 0.00681394, 0.0338363, -0.177734, 0.244871, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.0285794, -0.161225
15024, 0.00800493, 0.0375536, -0.195217, 0.260581, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.0320506, -0.178116
15034, 0.00975033, 0.041563, -0.209982, 0.292381, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.0358689, -0.193471
15044, 0.0116114, 0.0457553, -0.224924, 0.321618, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.0398029, -0.208825
15053, 0.0135882, 0.0500891, -0.239967, 0.349516, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.0438526, -0.22418
15064, 0.0159122, 0.0546912, -0.255056, 0.376764, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.0482494, -0.239535
15074, 0.0183518, 0.0594675, -0.270172, 0.403687, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.0527619, -0.25489
15084, 0.0212301, 0.0644534, -0.282996, 0.440821, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.0575059, -0.268709
15093, 0.0244556, 0.0697339, -0.296217, 0.472447, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.0625969, -0.282528
15104, 0.0281198, 0.0752699, -0.307344, 0.511664, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.0679194, -0.294812
15114, 0.0318996, 0.080975, -0.318963, 0.544107, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.0733576, -0.307096
15124, 0.0362339, 0.0869593, -0.328533, 0.583528, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.0791429, -0.317844
15133, 0.0407754, 0.0930502, -0.336315, 0.626236, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.0849282, -0.327057
15143, 0.0458714, 0.0993963, -0.342451, 0.670342, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.0910606, -0.334735
15154, 0.0511988, 0.105753, -0.347613, 0.704495, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.0974244, -0.342412
15164, 0.0570806, 0.112329, -0.3517, 0.732425, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.104135, -0.348554
15174, 0.0636084, 0.119131, -0.352182, 0.767501, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.111078, -0.351625
15183, 0.0698131, 0.125949, -0.356252, 0.774688, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.117904, -0.356231
15194, 0.0764084, 0.132629, -0.353673, 0.809696, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.1245, -0.356231
15204, 0.0830036, 0.139257, -0.352381, 0.826927, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.131095, -0.356231
15214, 0.0900376, 0.146007, -0.349454, 0.845613, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.137922, -0.354696
15223, 0.0975102, 0.152948, -0.344939, 0.864914, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.14498, -0.351625
15234, 0.105397, 0.159961, -0.336572, 0.894678, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.152038, -0.345483
15244, 0.113492, 0.167002, -0.327067, 0.918867, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.159096, -0.337806
15254, 0.122117, 0.174125, -0.313943, 0.950424, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.166269, -0.327057
15264, 0.130949, 0.181279, -0.299792, 0.974909, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.173443, -0.314773
15273, 0.14022, 0.188589, -0.284377, 0.995683, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.180848, -0.300954
15284, 0.149789, 0.195886, -0.265268, 1.02483, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.188138, -0.284064
15294, 0.159451, 0.203107, -0.245097, 1.04739, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.195312, -0.265638
15304, 0.169526, 0.210299, -0.221342, 1.07682, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.202485, -0.244141
15313, 0.179602, 0.217479, -0.198881, 1.0886, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.209659, -0.222645
15324, 0.189678, 0.224656, -0.177076, 1.09163, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.216833, -0.201148
15334, 0.200168, 0.23183, -0.150982, 1.11114, 1.61803e-06, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.224007, -0.17658
