QGPIORecord, QRC v6.1.0, 18-12-2024 @ 20:42:33, Windows 10 Version 2009, 10.0.19045, x86_64
Time, ValueIn0, x1, x2, x3, P11, P12, P22, P13, P23, P33, y1, y2
32523, 0, 0, 0, 0, 0.000100035, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
32534, 0, 0, 0, 0, 0.000100035, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
32543, 0, 0, 0, 0, 0.000100036, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
32553, 0, 0, 0, 0, 0.000100036, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
32563, 0, 0, 0, 0, 0.000100036, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
32573, 0, 0, 0, 0, 0.000100036, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
32583, 0, 0, 0, 0, 0.000100036, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
32593, 0, 0, 0, 0, 0.000100036, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
32603, 0, 0, 0, 0, 0.000100036, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
32613, 0, 0, 0, 0, 0.000100036, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
32623, 0, 0, 0, 0, 0.000100036, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
32633, 0, 0, 0, 0, 0.000100036, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
32643, 0, 0, 0, 0, 0.000100037, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
32653, 0, 0, 0, 0, 0.000100037, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
32663, 0, 0, 0, 0, 0.000100037, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
32673, 0, 0, 0, 0, 0.000100037, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
32684, 0, 0, 0, 0, 0.000100037, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
32693, 0, 0, 0, 0, 0.000100037, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
32703, 0, 0, 0, 0, 0.000100037, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
32713, 0, 0, 0, 0, 0.000100037, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
32723, 0, 0, 0, 0, 0.000100037, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
32733, 0, 0, 0, 0, 0.000100037, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
32743, 0, 0, 0, 0, 0.000100038, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
32753, 0, 0, 0, 0, 0.000100038, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
32763, 0, 0, 0, 0, 0.000100038, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
32773, 0, 0, 0, 0, 0.000100038, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
32783, 0, 0, 0, 0, 0.000100038, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
32793, 0, 0, 0, 0, 0.000100038, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
32803, 0, 0, 0, 0, 0.000100038, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
32813, 0, 0, 0, 0, 0.000100038, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
32823, 0, 0, 0, 0, 0.000100038, 0, 1.00149e-06, 0, 4.37786e-06, 4.00255e-05, 0, 0
