QGPIORecord, QRC v6.1.0, 19-12-2024 @ 12:31:09, Windows 10 Version 2009, 10.0.19045, x86_64
Time, ValueIn0, x1, x2, x3, P11, P12, P22, P13, P23, P33, y1, y2
7203, 0, 0, 0, 0, 0.000404, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
7215, 0, 0, 0, 0, 0.000405, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
7223, 0, 0, 0, 0, 0.000406, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
7233, 0, 0, 0, 0, 0.000407, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
7243, 0, 0, 0, 0, 0.000408, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
7254, 0, 0, 0, 0, 0.000409, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
7263, 0, 0, 0, 0, 0.00041, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
7273, 0, 0, 0, 0, 0.000411, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
7283, 0, 0, 0, 0, 0.000412, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
7293, 0, 0, 0, 0, 0.000413, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
7303, 0, 0, 0, 0, 0.000414, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
7313, 0, 0, 0, 0, 0.000415, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
7323, 0, 0, 0, 0, 0.000416, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
7333, 0, 0, 0, 0, 0.000417, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
7343, 0, 0, 0, 0, 0.000418, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
7353, 0, 0, 0, 0, 0.000419, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
7363, 0, 0, 0, 0, 0.00042, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
7373, 0, 0, 0, 0, 0.000421, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
7384, 0, 0, 0, 0, 0.000422001, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
7393, 0, 0, 0, 0, 0.000423001, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
7403, 0, 0, 0, 0, 0.000424001, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
7413, 0, 0, 0, 0, 0.000425001, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0, 0
