QGPIORecord, QRC v6.1.0, 19-12-2024 @ 14:43:20, Windows 10 Version 2009, 10.0.19045, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
23943, 0, 0, 0, 0, 1, 0, 1.00008, 0, 0, 0, 0, 0
23953, 0, 0, 0, 0, 1, 0, 1.00008, 0, 0, 0, 0, 0
23963, 0, 0, 0, 0, 1, 0, 1.00008, 0, 0, 0, 0, 0
23973, 0, 0, 0, 0, 1, 0, 1.00008, 0, 0, 0, 0, 0
23983, 0, 0, 0, 0, 1, 0, 1.00008, 0, 0, 0, 0, 0
23993, 0, 0, 0, 0, 1, 0, 1.00008, 0, 0, 0, 0, 0
24003, 0, 0, 0, 0, 1, 0, 1.00008, 0, 0, 0, 0, 0
24013, 0, 0, 0, 0, 1, 0, 1.00008, 0, 0, 0, 0, 0
24023, 0, 0, 0, 0, 1, 0, 1.00008, 0, 0, 0, 0, 0
24033, 0, 0, 0, 0, 1, 0, 1.00008, 0, 0, 0, 0, 0
24043, 0, 0, 0, 0, 1, 0, 1.00008, 0, 0, 0, 0, 0
24053, 0, 0, 0, 0, 1, 0, 1.00008, 0, 0, 0, 0, 0
24064, 0, 0, 0, 0, 1, 0, 1.00008, 0, 0, 0, 0, 0
24073, 0, 0, 0, 0, 1, 0, 1.00008, 0, 0, 0, 0, 0
24083, 0, 0, 0, 0, 1, 0, 1.00008, 0, 0, 0, 0, 0
24093, 0, 0, 0, 0, 1, 0, 1.00008, 0, 0, 0, 0, 0
24103, 0, 0, 0, 0, 1, 0, 1.00008, 0, 0, 0, 0, 0
24113, 0, 0, 0, 0, 1, 0, 1.00008, 0, 0, 0, 0, 0
24123, 0, 0, 0, 0, 1, 0, 1.00008, 0, 0, 0, 0, 0
24133, 0, 0, 0, 0, 1, 0, 1.00008, 0, 0, 0, 0, 0
24143, 0, 0, 0, 0, 1, 0, 1.00008, 0, 0, 0, 0, 0
24153, 0, 0, 0, 0, 1, 0, 1.00008, 0, 0, 0, 0, 0
24163, 0, 0, 0, 0, 1, 0, 1.00008, 0, 0, 0, 0, 0
24173, 0, 0, 0, 0, 1, 0, 1.00008, 0, 0, 0, 0, 0
24183, 0, 0, 0, 0, 1, 0, 1.00008, 0, 0, 0, 0, 0
24193, 0, 0, 0, 0, 1, 0, 1.00008, 0, 0, 0, 0, 0
24203, 0, 0, 0, 0, 1, 0, 1.00008, 0, 0, 0, 0, 0
24213, 0, 0, 0, 0, 1, 0, 1.00008, 0, 0, 0, 0, 0
24223, 0, 0, 0, 0, 1, 0, 1.00008, 0, 0, 0, 0, 0
24233, 0, 0, 0, 0, 1, 0, 1.00008, 0, 0, 0, 0, 0
24243, 0, 0, 0, 0, 1, 0, 1.00008, 0, 0, 0, 0, 0
24253, 0, 0, 0, 0, 1, 0, 1.00008, 0, 0, 0, 0, 0
24263, 0, 0, 0, 0, 1, 0, 1.00008, 0, 0, 0, 0, 0
24273, 0, 0, 0, 0, 1, 0, 1.00008, 0, 0, 0, 0, 0
24283, 0, 0, 0, 0, 1, 0, 1.00008, 0, 0, 0, 0, 0
24293, 0, 0, 0, 0, 1, 0, 1.00008, 0, 0, 0, 0, 0
24303, 0, 0, 0, 0, 1, 0, 1.00008, 0, 0, 0, 0, 0
24313, 0, 0, 0, 0, 1, 0, 1.00008, 0, 0, 0, 0, 0
24323, 0, 0, 0, 0, 1, 0, 1.00008, 0, 0, 0, 0, 0
24333, 0, 0, 0, 0, 1, 0, 1.00008, 0, 0, 0, 0, 0
24343, 0, 0, 0, 0, 1, 0, 1.00008, 0, 0, 0, 0, 0
24353, 0, 0, 0, 0, 1, 0, 1.00008, 0, 0, 0, 0, 0
24364, 0, 0, 0, 0, 1, 0, 1.00008, 0, 0, 0, 0, 0
24373, 0, 0, 0, 0, 1, 0, 1.00008, 0, 0, 0, 0, 0
24383, 0, 0, 0, 0, 1, 0, 1.00008, 0, 0, 0, 0, 0
24393, 0, 0, 0, 0, 1, 0, 1.00008, 0, 0, 0, 0, 0
24403, 0, 0, 0, 0, 1, 0, 1.00008, 0, 0, 0, 0, 0
24414, 0, 0, 0, 0, 1, 0, 1.00008, 0, 0, 0, 0, 0
24423, 0, 0, 0, 0, 1, 0, 1.00008, 0, 0, 0, 0, 0
24434, 0, 0, 0, 0, 1, 0, 1.00008, 0, 0, 0, 0, 0
24443, 0, 0, 0, 0, 1, 0, 1.00008, 0.6864, 18.1709, 18.1709, 0, 0
24454, 0, 0, 0, 0, 1, 0, 1.00008, 0.6864, 19.5894, 19.5894, 0, 0
24464, 0.00231412, 0.00115706, 0, 0, 1, 0, 1.00008, 0.685606, 14.8792, 14.9038, 0.00231412, 0
24473, 0.00673507, 0.00404971, -0.000765023, 7.50147e-05, 1, 0, 1.00008, 0.683093, 9.59609, 9.30395, 0.00694236, -0.00153548
24483, 0.0121299, 0.00850439, -0.00343566, 0.000412386, 1, 0, 1.00008, 0.678189, 6.13154, 6.09212, 0.0129591, -0.00614192
24494, 0.0176646, 0.0139136, -0.00780122, 0.0011798, 1, 0, 1.00008, 0.671442, 5.30793, 5.01591, 0.0193229, -0.0122838
24504, 0.0220663, 0.0193374, -0.0137444, 0.00253398, 1, 0, 1.00008, 0.663566, 7.92558, 7.57576, 0.0247611, -0.0199612
24514, 0.0245493, 0.0240162, -0.02196, 0.00470036, 1, 0, 1.00008, 0.654592, 11.6318, 11.2856, 0.0286951, -0.0307096
24523, 0.0265936, 0.0282069, -0.0320127, 0.00786265, 1, 0, 1.00008, 0.644627, 12.526, 12.7064, 0.0323977, -0.0429934
24534, 0.0296792, 0.0326743, -0.0429069, 0.0121075, 1, 0, 1.00008, 0.633819, 9.64586, 10.2118, 0.0371416, -0.0552773
