QGPIORecord, QRC v6.1.0, 19-12-2024 @ 14:45:08, Windows 10 Version 2009, 10.0.19045, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
11153, 0, 0, 0, 0, 1.61803, 0, 1.61812, 0, 0, 0, 0, 0
11163, 0, 0, 0, 0, 1.61803, 0, 1.61812, 0, 0, 0, 0, 0
11173, 0, 0, 0, 0, 1.61803, 0, 1.61812, 0, 0, 0, 0, 0
11183, 0, 0, 0, 0, 1.61803, 0, 1.61812, 0, 0, 0, 0, 0
11193, 0, 0, 0, 0, 1.61803, 0, 1.61812, 0, 0, 0, 0, 0
11203, 0, 0, 0, 0, 1.61803, 0, 1.61812, 0, 0, 0, 0, 0
11213, 0, 0, 0, 0, 1.61803, 0, 1.61812, 0, 0, 0, 0, 0
11223, 0, 0, 0, 0, 1.61803, 0, 1.61812, 0, 0, 0, 0, 0
11233, 0, 0, 0, 0, 1.61803, 0, 1.61812, 0, 0, 0, 0, 0
11243, 0, 0, 0, 0, 1.61803, 0, 1.61812, 0, 0, 0, 0, 0
11253, 0, 0, 0, 0, 1.61803, 0, 1.61812, 0, 0, 0, 0, 0
11264, 0, 0, 0, 0, 1.61803, 0, 1.61812, 0, 0, 0, 0, 0
11273, 0, 0, 0, 0, 1.61803, 0, 1.61812, 0, 0, 0, 0, 0
11283, 0, 0, 0, 0, 1.61803, 0, 1.61812, 0, 0, 0, 0, 0
11293, 0, 0, 0, 0, 1.61803, 0, 1.61812, 0, 0, 0, 0, 0
11303, 0, 0, 0, 0, 1.61803, 0, 1.61812, 0, 0, 0, 0, 0
11313, 0, 0, 0, 0, 1.61803, 0, 1.61812, 0, 0, 0, 0, 0
11323, 0, 0, 0, 0, 1.61803, 0, 1.61812, 0, 0, 0, 0, 0
11333, 0, 0, 0, 0, 1.61803, 0, 1.61812, 0, 0, 0, 0, 0
11343, 0, 0, 0, 0, 1.61803, 0, 1.61812, 0, 0, 0, 0, 0
11353, 0, 0, 0, 0, 1.61803, 0, 1.61812, 0, 0, 0, 0, 0
11363, 0, 0, 0, 0, 1.61803, 0, 1.61812, 0, 0, 0, 0, 0
11373, 0, 0, 0, 0, 1.61803, 0, 1.61812, 0, 0, 0, 0, 0
11383, 0, 0, 0, 0, 1.61803, 0, 1.61812, 0, 0, 0, 0, 0
11393, 0, 0, 0, 0, 1.61803, 0, 1.61812, 0, 0, 0, 0, 0
11403, 0, 0, 0, 0, 1.61803, 0, 1.61812, 0, 0, 0, 0, 0
11413, 0, 0, 0, 0, 1.61803, 0, 1.61812, 0, 0, 0, 0, 0
11423, 0, 0, 0, 0, 1.61803, 0, 1.61812, 0, 0, 0, 0, 0
11433, 0, 0, 0, 0, 1.61803, 0, 1.61812, 0, 0, 0, 0, 0
11443, 0, 0, 0, 0, 1.61803, 0, 1.61812, 0, 0, 0, 0, 0
11453, 0, 0, 0, 0, 1.61803, 0, 1.61812, 0, 0, 0, 0, 0
11463, 0, 0, 0, 0, 1.61803, 0, 1.61812, 0, 0, 0, 0, 0
