QGPIORecord, QRC v6.1.0, 29-10-2025 @ 16:59:05, Windows 10 Version 2009, 10.0.26100, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
398020, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398031, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398041, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398050, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398060, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398070, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398081, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398090, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398100, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398110, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398120, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398130, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398140, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398150, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398160, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398171, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398180, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398190, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398200, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398211, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398220, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398230, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398240, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398251, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398260, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398270, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398280, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398290, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398300, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398310, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398320, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398330, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398341, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398350, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398360, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398370, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398381, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398390, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398400, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398410, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398420, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398430, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398440, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398450, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398460, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398470, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398480, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398490, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398500, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398511, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398520, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398530, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398540, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398551, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398560, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398570, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398580, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398590, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
398600, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
