QGPIORecord, QRC v6.1.0, 20-10-2025 @ 14:26:20, Windows 10 Version 2009, 10.0.26100, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
80370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80381, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80390, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80410, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80420, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80431, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80440, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80450, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80460, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80471, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80480, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80490, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80510, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80520, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80530, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80540, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80550, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80570, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80580, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80590, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80601, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80610, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80620, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80630, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80641, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80650, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80660, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80670, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80680, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80690, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80710, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80720, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80730, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80740, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80750, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80760, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80771, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80780, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80790, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80800, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80811, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80820, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80830, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80840, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80850, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80870, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80880, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80890, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80901, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80910, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80920, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80930, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80941, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80950, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80960, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80970, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80980, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80990, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
81000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
81010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
81020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
81030, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
81040, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
81050, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
81060, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
81071, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
81080, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
81090, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
81100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
81111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
81120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
