QGPIORecord, QRC v6.1.0, 27-11-2025 @ 15:52:23, Windows 10 Version 2009, 10.0.26100, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
103601, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
103611, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
103620, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
103630, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
103641, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
103650, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
103660, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
103670, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
103681, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
103690, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
103700, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
103710, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
103720, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
103730, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
103740, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
103750, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
103760, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
103771, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
103780, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
103790, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
103800, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
103811, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
103820, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
103830, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
103840, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
103851, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
103860, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
103870, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
103880, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
103890, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
103900, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
103910, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
103920, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
103930, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
103941, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
103950, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
103960, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
103970, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
103981, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
103990, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
104000, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
104010, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
104020, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
104030, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
104040, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
104050, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
104060, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
104071, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
104080, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
