QGPIORecord, QRC v6.1.0, 28-11-2025 @ 11:18:19, Windows 10 Version 2009, 10.0.26100, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
830220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830240, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830252, 0, 0, -0.350624, 0, 0.350624, 0, 0, 0, 0, 0, 0, 0
830260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830270, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830280, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830310, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830341, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830350, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830381, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830390, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830410, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830420, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830430, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830440, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830450, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830460, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830471, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830480, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830490, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830511, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830520, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830530, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830540, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830551, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830570, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830580, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830590, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830610, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830620, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830630, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830641, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830650, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830660, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830670, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830681, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830690, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830710, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830721, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830730, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830740, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830750, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830760, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830770, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830780, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830790, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830800, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830811, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830820, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830830, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830840, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830851, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830870, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830880, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830891, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830910, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830920, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830930, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830940, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830950, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830960, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830970, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830981, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
830990, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831021, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831030, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831040, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831050, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831060, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831070, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831080, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831090, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831191, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831240, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831270, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831281, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831310, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831321, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831340, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831350, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831361, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831380, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831390, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831410, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831420, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831430, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831440, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831451, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831460, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831470, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831480, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831491, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831510, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831520, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831531, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831540, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831550, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831570, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831580, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831590, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831610, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831621, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831630, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831640, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831650, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831661, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831670, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831680, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831690, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831711, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
831720, 10, 0, 0, 10, 10, 6.39426, 6.23161, 0, 0, 0, 0, 0
831730, 10, 0, 0, 10, 10, 6.8884, 6.71318, 0, 0, 0, 0, 0
831740, 10, 3.50624, 3.83232, 6.49376, 6.16768, 5.14056, 4.8066, 0, 0, 0, 0, 0
831751, 10, 8.05734, 7.70672, 1.94266, 2.29328, 2.55135, 2.68924, 0, 0, 0, 0, 0
831761, 10, 8.77262, 8.77262, 1.22738, 1.22738, 2.18998, 2.13545, 0, 0, 0, 0, 0
831770, 10, 7.00547, 6.66186, 2.99453, 3.33814, 3.38059, 3.5099, 0, 0, 0, 0, 0
831780, 10, 4.20749, 4.90523, 5.79251, 5.09477, 5.31766, 4.76532, 0, 0, 0, 0, 0
831791, 10, 4.20749, 4.20749, 5.79251, 5.79251, 5.60389, 5.44547, 0, 0, 0, 0, 0
831801, 10, 5.59596, 5.60297, 4.40404, 4.39703, 5.0023, 4.85481, 0, 0, 0, 0, 0
831810, 10, 7.38064, 7.023, 2.61936, 2.977, 4.07875, 4.18165, 0, 0, 0, 0, 0
831820, 10, 8.06436, 8.07137, 1.93564, 1.92863, 3.771, 3.67171, 0, 0, 0, 0, 0
831831, 10, 7.3561, 7.34908, 2.6439, 2.65092, 4.31952, 4.21469, 0, 0, 0, 0, 0
831841, 10, 6.65134, 6.65835, 3.34866, 3.34165, 4.90081, 4.77279, 0, 0, 0, 0, 0
831850, 10, 6.31474, 6.30422, 3.68526, 3.69578, 5.28151, 5.15439, 0, 0, 0, 0, 0
831860, 10, 6.66537, 7.02651, 3.33463, 2.97349, 5.23941, 4.88227, 0, 0, 0, 0, 0
831870, 10, 7.36311, 7.71373, 2.63689, 2.28627, 4.95804, 4.59721, 0, 0, 0, 0, 0
831881, 10, 8.39044, 8.03631, 1.60956, 1.96369, 4.43144, 4.5063, 0, 0, 0, 0, 0
831890, 10, 8.0889, 7.73477, 1.9111, 2.26523, 4.70378, 4.78877, 0, 0, 0, 0, 0
831900, 10, 7.35259, 7.70672, 2.64741, 2.29328, 5.26903, 4.91534, 0, 0, 0, 0, 0
831910, 10, 7.71373, 7.70672, 2.28627, 2.29328, 5.16893, 5.02577, 0, 0, 0, 0, 0
831921, 10, 7.71023, 7.71724, 2.28977, 2.28276, 5.28414, 5.12966, 0, 0, 0, 0, 0
831931, 10, 8.41147, 8.05734, 1.58853, 1.94266, 4.94889, 5.02765, 0, 0, 0, 0, 0
831940, 10, 8.41498, 8.41849, 1.58502, 1.58151, 5.02515, 4.89615, 0, 0, 0, 0, 0
831950, 10, 8.07137, 8.41849, 1.92863, 1.58151, 5.32318, 4.97231, 0, 0, 0, 0, 0
831961, 10, 8.06436, 8.06436, 1.93564, 1.93564, 5.42297, 5.26915, 0, 0, 0, 0, 0
831971, 10, 8.40096, 8.39745, 1.59904, 1.60255, 5.30339, 5.1548, 0, 0, 0, 0, 0
831980, 10, 8.77262, 8.41849, 1.22738, 1.58151, 5.14475, 5.21886, 0, 0, 0, 0, 0
831990, 10, 8.41498, 8.41498, 1.58502, 1.58502, 5.43408, 5.29721, 0, 0, 0, 0, 0
832001, 10, 8.76911, 8.41498, 1.23089, 1.58502, 5.28596, 5.37354, 0, 0, 0, 0, 0
832011, 10, 8.7656, 8.75859, 1.2344, 1.24141, 5.34903, 5.23574, 0, 0, 0, 0, 0
832020, 10, 9.10922, 9.10922, 0.890783, 0.890783, 5.19031, 5.07703, 0, 0, 0, 0, 0
832030, 10, 9.11623, 8.7656, 0.883771, 1.2344, 5.22984, 5.33405, 0, 0, 0, 0, 0
832040, 10, 9.46685, 8.42199, 0.533147, 1.57801, 5.04932, 5.60762, 0, 0, 0, 0, 0
