QGPIORecord, QRC v6.1.0, 28-11-2025 @ 11:17:00, Windows 10 Version 2009, 10.0.26100, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
750520, 0, -0.347118, -0.347118, 0.347118, 0.347118, 0, 0, 0, 0, 0, 0, 0
750530, 0, -0.350624, 0, 0.350624, 0, 0, 0, 0, 0, 0, 0, 0
750540, 0, 0, -0.350624, 0, 0.350624, 0, 0, 0, 0, 0, 0, 0
750551, 0, -0.350624, 0, 0.350624, 0, 0, 0, 0, 0, 0, 0, 0
750560, 0, 0, -0.350624, 0, 0.350624, 0, 0, 0, 0, 0, 0, 0
750570, 0, -0.350624, -0.347118, 0.350624, 0.347118, 0, 0, 0, 0, 0, 0, 0
750580, 0, -0.350624, 0, 0.350624, 0, 0, 0, 0, 0, 0, 0, 0
750590, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
750601, 0, -0.347118, -0.347118, 0.347118, 0.347118, 0, 0, 0, 0, 0, 0, 0
750610, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
750620, 0, -0.347118, -0.347118, 0.347118, 0.347118, 0, 0, 0, 0, 0, 0, 0
750630, 0, 0, -0.350624, 0, 0.350624, 0, 0, 0, 0, 0, 0, 0
750641, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
750650, 0, -0.350624, -0.347118, 0.350624, 0.347118, 0, 0, 0, 0, 0, 0, 0
750660, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
750670, 0, -0.350624, 0, 0.350624, 0, 0, 0, 0, 0, 0, 0, 0
750681, 0, -0.350624, -0.347118, 0.350624, 0.347118, 0, 0, 0, 0, 0, 0, 0
750690, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
750700, 0, -0.350624, -0.347118, 0.350624, 0.347118, 0, 0, 0, 0, 0, 0, 0
750710, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
750721, 0, -0.347118, -0.347118, 0.347118, 0.347118, 0, 0, 0, 0, 0, 0, 0
750730, 0, 0, -0.350624, 0, 0.350624, 0, 0, 0, 0, 0, 0, 0
750740, 0, -0.350624, 0, 0.350624, 0, 0, 0, 0, 0, 0, 0, 0
750750, 0, -0.350624, -0.350624, 0.350624, 0.350624, 0, 0, 0, 0, 0, 0, 0
750760, 0, 0, -0.350624, 0, 0.350624, 0, 0, 0, 0, 0, 0, 0
750771, 0, -0.347118, 0, 0.347118, 0, 0, 0, 0, 0, 0, 0, 0
750780, 0, 0, -0.350624, 0, 0.350624, 0, 0, 0, 0, 0, 0, 0
750790, 0, -0.350624, 0, 0.350624, 0, 0, 0, 0, 0, 0, 0, 0
750800, 0, -0.350624, -0.350624, 0.350624, 0.350624, 0, 0, 0, 0, 0, 0, 0
750811, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
750820, 0, -0.350624, -0.347118, 0.350624, 0.347118, 0, 0, 0, 0, 0, 0, 0
750830, 0, -0.350624, -0.350624, 0.350624, 0.350624, 0, 0, 0, 0, 0, 0, 0
750840, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
750851, 0, -0.350624, -0.347118, 0.350624, 0.347118, 0, 0, 0, 0, 0, 0, 0
750860, 0, -0.347118, -0.347118, 0.347118, 0.347118, 0, 0, 0, 0, 0, 0, 0
750870, 0, -0.350624, -0.350624, 0.350624, 0.350624, 0, 0, 0, 0, 0, 0, 0
750880, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
750891, 0, -0.350624, -0.347118, 0.350624, 0.347118, 0, 0, 0, 0, 0, 0, 0
