QGPIORecord, QRC v6.1.0, 27-11-2025 @ 15:56:20, Windows 10 Version 2009, 10.0.26100, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
340660, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
340670, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
340681, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
340690, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
340700, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
340710, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
340720, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
340730, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
340741, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
340750, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
340760, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
340770, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
340781, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
340790, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
340800, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
340810, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
340820, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
340830, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
340840, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
340850, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
340860, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
340871, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
340880, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
340890, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
340900, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
340911, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
340920, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
340930, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
340940, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
340951, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
340960, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
340970, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
340980, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
340990, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
341000, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
341010, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
341020, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
341030, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
341041, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
341050, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
341060, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
341070, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0
