QGPIORecord, QRC v6.1.0, 04-12-2025 @ 22:47:29, Windows 10 Version 2009, 10.0.26100, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
17680, 0, 0.487266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17690, 0, 0.496606, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17701, 0, 0.453242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17711, 0, 0.461284, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17720, 0, 0.487266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17730, 0, 0.573872, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17740, 0, 0.586964, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17751, 0, 0.52696, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17760, 0, 0.52696, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17770, 0, 0.52696, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17780, 0, 0.487266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17790, 0, 0.487266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17800, 0, 0.453242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17810, 0, 0.487266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17820, 0, 0.487266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17830, 0, 0.549396, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17840, 0, 0.52696, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17850, 0, 0.549396, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17860, 0, 0.487266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17870, 0, 0.487266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17881, 0, 0.646044, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17890, 0, 0.573872, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17900, 0, 0.586964, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17910, 0, 0.586964, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17921, 0, 0.52696, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17930, 0, 0.53794, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17940, 0, 0.52696, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
