QGPIORecord, QRC v6.1.0, 17-12-2025 @ 22:05:13, Windows 10 Version 2009, 10.0.26200, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
14151, 0, 0, nan, nan, -0.3, -0.2, 0, 4.385e-08, 4.385e-08, 4.385e-08, 0, 0
14161, 0, 0, nan, nan, -0.3, -0.2, 0, 4.39e-08, 4.39e-08, 4.39e-08, 0, 0
14173, 0, 0, nan, nan, -0.3, -0.2, 0, 4.395e-08, 4.395e-08, 4.395e-08, 0, 0
14181, 0, 0, nan, nan, -0.3, -0.2, 0, 4.4e-08, 4.4e-08, 4.4e-08, 0, 0
14191, 0, 0, nan, nan, -0.3, -0.2, 0, 4.405e-08, 4.405e-08, 4.405e-08, 0, 0
14201, 0, 0, nan, nan, -0.3, -0.2, 0, 4.41e-08, 4.41e-08, 4.41e-08, 0, 0
14212, 0, 0, nan, nan, -0.3, -0.2, 0, 4.415e-08, 4.415e-08, 4.415e-08, 0, 0
14222, 0, 0, nan, nan, -0.3, -0.2, 0, 4.42e-08, 4.42e-08, 4.42e-08, 0, 0
14231, 0, 0, nan, nan, -0.3, -0.2, 0, 4.425e-08, 4.425e-08, 4.425e-08, 0, 0
14241, 0, 0, nan, nan, -0.3, -0.2, 0, 4.43e-08, 4.43e-08, 4.43e-08, 0, 0
14252, 0, 0, nan, nan, -0.3, -0.2, 0, 4.435e-08, 4.435e-08, 4.435e-08, 0, 0
14262, 0, 0, nan, nan, -0.3, -0.2, 0, 4.44e-08, 4.44e-08, 4.44e-08, 0, 0
14271, 0, 0, nan, nan, -0.3, -0.2, 0, 4.445e-08, 4.445e-08, 4.445e-08, 0, 0
14281, 0, 0, nan, nan, -0.3, -0.2, 0, 4.45e-08, 4.45e-08, 4.45e-08, 0, 0
14291, 0, 0, nan, nan, -0.3, -0.2, 0, 4.455e-08, 4.455e-08, 4.455e-08, 0, 0
14302, 0, 0, nan, nan, -0.3, -0.2, 0, 4.46e-08, 4.46e-08, 4.46e-08, 0, 0
14311, 0, 0, nan, nan, -0.3, -0.2, 0, 4.465e-08, 4.465e-08, 4.465e-08, 0, 0
14321, 0, 0, nan, nan, -0.3, -0.2, 0, 4.47e-08, 4.47e-08, 4.47e-08, 0, 0
14331, 0, 0, nan, nan, -0.3, -0.2, 0, 4.475e-08, 4.475e-08, 4.475e-08, 0, 0
14342, 0, 0, nan, nan, -0.3, -0.2, 0, 4.48e-08, 4.48e-08, 4.48e-08, 0, 0
14351, 0, 0, nan, nan, -0.3, -0.2, 0, 4.485e-08, 4.485e-08, 4.485e-08, 0, 0
14361, 0, 0, nan, nan, -0.3, -0.2, 0, 4.49e-08, 4.49e-08, 4.49e-08, 0, 0
14371, 0, 0, nan, nan, -0.3, -0.2, 0, 4.495e-08, 4.495e-08, 4.495e-08, 0, 0
14382, 0, 0, nan, nan, -0.3, -0.2, 0, 4.5e-08, 4.5e-08, 4.5e-08, 0, 0
14392, 0, 0, nan, nan, -0.3, -0.2, 0, 4.505e-08, 4.505e-08, 4.505e-08, 0, 0
14401, 0, 0, nan, nan, -0.3, -0.2, 0, 4.51e-08, 4.51e-08, 4.51e-08, 0, 0
14411, 0, 0, nan, nan, -0.3, -0.2, 0, 4.515e-08, 4.515e-08, 4.515e-08, 0, 0
14422, 0, 0, nan, nan, -0.3, -0.2, 0, 4.52e-08, 4.52e-08, 4.52e-08, 0, 0
14432, 0, 0, nan, nan, -0.3, -0.2, 0, 4.525e-08, 4.525e-08, 4.525e-08, 0, 0
14441, 0, 0, nan, nan, -0.3, -0.2, 0, 4.53e-08, 4.53e-08, 4.53e-08, 0, 0
14451, 0, 0, nan, nan, -0.3, -0.2, 0, 4.535e-08, 4.535e-08, 4.535e-08, 0, 0
14461, 0, 0, nan, nan, -0.3, -0.2, 0, 4.54e-08, 4.54e-08, 4.54e-08, 0, 0
14472, 0, 0, nan, nan, -0.3, -0.2, 0, 4.545e-08, 4.545e-08, 4.545e-08, 0, 0
14481, 0, 0, nan, nan, -0.3, -0.2, 0, 4.55e-08, 4.55e-08, 4.55e-08, 0, 0
14491, 0, 0, nan, nan, -0.3, -0.2, 0, 4.555e-08, 4.555e-08, 4.555e-08, 0, 0
14501, 0, 0, nan, nan, -0.3, -0.2, 0, 4.56e-08, 4.56e-08, 4.56e-08, 0, 0
14512, 0, 0, nan, nan, -0.3, -0.2, 0, 4.565e-08, 4.565e-08, 4.565e-08, 0, 0
14522, 0, 0, nan, nan, -0.3, -0.2, 0, 4.57e-08, 4.57e-08, 4.57e-08, 0, 0
14531, 0, 0, nan, nan, -0.3, -0.2, 0, 4.575e-08, 4.575e-08, 4.575e-08, 0, 0
14541, 0, 0, nan, nan, -0.3, -0.2, 0, 4.58e-08, 4.58e-08, 4.58e-08, 0, 0
14552, 0, 0, nan, nan, -0.3, -0.2, 0, 4.585e-08, 4.585e-08, 4.585e-08, 0, 0
14562, 0, 0, nan, nan, -0.3, -0.2, 0, 4.59e-08, 4.59e-08, 4.59e-08, 0, 0
14571, 0, 0, nan, nan, -0.3, -0.2, 0, 4.595e-08, 4.595e-08, 4.595e-08, 0, 0
14581, 0, 0, nan, nan, -0.3, -0.2, 0, 4.6e-08, 4.6e-08, 4.6e-08, 0, 0
14592, 0, 0, nan, nan, -0.3, -0.2, 0, 4.605e-08, 4.605e-08, 4.605e-08, 0, 0
14602, 0, 0, nan, nan, -0.3, -0.2, 0, 4.61e-08, 4.61e-08, 4.61e-08, 0, 0
14611, 0, 0, nan, nan, -0.3, -0.2, 0, 4.615e-08, 4.615e-08, 4.615e-08, 0, 0
14621, 0, 0, nan, nan, -0.3, -0.2, 0, 4.62e-08, 4.62e-08, 4.62e-08, 0, 0
14631, 0, 0, nan, nan, -0.3, -0.2, 0, 4.625e-08, 4.625e-08, 4.625e-08, 0, 0
14642, 0, 0, nan, nan, -0.3, -0.2, 0, 4.63e-08, 4.63e-08, 4.63e-08, 0, 0
14651, 0, 0, nan, nan, -0.3, -0.2, 0, 4.635e-08, 4.635e-08, 4.635e-08, 0, 0
14661, 0, 0, nan, nan, -0.3, -0.2, 0, 4.64e-08, 4.64e-08, 4.64e-08, 0, 0
14671, 0, 0, nan, nan, -0.3, -0.2, 0, 4.645e-08, 4.645e-08, 4.645e-08, 0, 0
14682, 0, 0, nan, nan, -0.3, -0.2, 0, 4.65e-08, 4.65e-08, 4.65e-08, 0, 0
14692, 0, 0, nan, nan, -0.3, -0.2, 0, 4.655e-08, 4.655e-08, 4.655e-08, 0, 0
14701, 0, 0, nan, nan, -0.3, -0.2, 0, 4.66e-08, 4.66e-08, 4.66e-08, 0, 0
14711, 0, 0, nan, nan, -0.3, -0.2, 0, 4.665e-08, 4.665e-08, 4.665e-08, 0, 0
14722, 0, 0, nan, nan, -0.3, -0.2, 0, 4.67e-08, 4.67e-08, 4.67e-08, 0, 0
14732, 0, 0, nan, nan, -0.3, -0.2, 0, 4.675e-08, 4.675e-08, 4.675e-08, 0, 0
14741, 0, 0, nan, nan, -0.3, -0.2, 0, 4.68e-08, 4.68e-08, 4.68e-08, 0, 0
14751, 0, 0, nan, nan, -0.3, -0.2, 0, 4.685e-08, 4.685e-08, 4.685e-08, 0, 0
14761, 0, 0, nan, nan, -0.3, -0.2, 0, 4.69e-08, 4.69e-08, 4.69e-08, 0, 0
14772, 0, 0, nan, nan, -0.3, -0.2, 0, 4.695e-08, 4.695e-08, 4.695e-08, 0, 0
14781, 0, 0, nan, nan, -0.3, -0.2, 0, 4.7e-08, 4.7e-08, 4.7e-08, 0, 0
14791, 0, 0, nan, nan, -0.3, -0.2, 0, 4.705e-08, 4.705e-08, 4.705e-08, 0, 0
14801, 0, 0, nan, nan, -0.3, -0.2, 0, 4.71e-08, 4.71e-08, 4.71e-08, 0, 0
14812, 0, 0, nan, nan, -0.3, -0.2, 0, 4.715e-08, 4.715e-08, 4.715e-08, 0, 0
14821, 0, 0, nan, nan, -0.3, -0.2, 0, 4.72e-08, 4.72e-08, 4.72e-08, 0, 0
14831, 0, 0, nan, nan, -0.3, -0.2, 0, 4.725e-08, 4.725e-08, 4.725e-08, 0, 0
14841, 0, 0, nan, nan, -0.3, -0.2, 0, 4.73e-08, 4.73e-08, 4.73e-08, 0, 0
14852, 0, 0, nan, nan, -0.3, -0.2, 0, 4.735e-08, 4.735e-08, 4.735e-08, 0, 0
14862, 0, 0, nan, nan, -0.3, -0.2, 0, 4.74001e-08, 4.74001e-08, 4.74001e-08, 0, 0
14871, 0, 0, nan, nan, -0.3, -0.2, 0, 4.74501e-08, 4.74501e-08, 4.74501e-08, 0, 0
14881, 0, 0, nan, nan, -0.3, -0.2, 0, 4.75001e-08, 4.75001e-08, 4.75001e-08, 0, 0
14892, 0, 0, nan, nan, -0.3, -0.2, 0, 4.75501e-08, 4.75501e-08, 4.75501e-08, 0, 0
14902, 0, 0, nan, nan, -0.3, -0.2, 0, 4.76001e-08, 4.76001e-08, 4.76001e-08, 0, 0
14911, 0, 0, nan, nan, -0.3, -0.2, 0, 4.76501e-08, 4.76501e-08, 4.76501e-08, 0, 0
14921, 0, 0, nan, nan, -0.3, -0.2, 0, 4.77001e-08, 4.77001e-08, 4.77001e-08, 0, 0
14931, 0, 0, nan, nan, -0.3, -0.2, 0, 4.77501e-08, 4.77501e-08, 4.77501e-08, 0, 0
14942, 0, 0, nan, nan, -0.3, -0.2, 0, 4.78001e-08, 4.78001e-08, 4.78001e-08, 0, 0
14951, 0, 0, nan, nan, -0.3, -0.2, 0, 4.78501e-08, 4.78501e-08, 4.78501e-08, 0, 0
14961, 0, 0, nan, nan, -0.3, -0.2, 0, 4.79001e-08, 4.79001e-08, 4.79001e-08, 0, 0
14971, 0, 0, nan, nan, -0.3, -0.2, 0, 4.79501e-08, 4.79501e-08, 4.79501e-08, 0, 0
14982, 0, 0, nan, nan, -0.3, -0.2, 0, 4.80001e-08, 4.80001e-08, 4.80001e-08, 0, 0
14991, 0, 0, nan, nan, -0.3, -0.2, 0, 4.80501e-08, 4.80501e-08, 4.80501e-08, 0, 0
15001, 0, 0, nan, nan, -0.3, -0.2, 0, 4.81001e-08, 4.81001e-08, 4.81001e-08, 0, 0
15011, 0, 0, nan, nan, -0.3, -0.2, 0, 4.81501e-08, 4.81501e-08, 4.81501e-08, 0, 0
15022, 0, 0, nan, nan, -0.3, -0.2, 0, 4.82001e-08, 4.82001e-08, 4.82001e-08, 0, 0
15032, 0, 0, nan, nan, -0.3, -0.2, 0, 4.82501e-08, 4.82501e-08, 4.82501e-08, 0, 0
15041, 0, 0, nan, nan, -0.3, -0.2, 0, 4.83001e-08, 4.83001e-08, 4.83001e-08, 0, 0
15051, 0, 0, nan, nan, -0.3, -0.2, 0, 4.83501e-08, 4.83501e-08, 4.83501e-08, 0, 0
15062, 0, 0, nan, nan, -0.3, -0.2, 0, 4.84001e-08, 4.84001e-08, 4.84001e-08, 0, 0
15072, 0, 0, nan, nan, -0.3, -0.2, 0, 4.84501e-08, 4.84501e-08, 4.84501e-08, 0, 0
15081, 0, 0, nan, nan, -0.3, -0.2, 0, 4.85001e-08, 4.85001e-08, 4.85001e-08, 0, 0
15091, 0, 0, nan, nan, -0.3, -0.2, 0, 4.85501e-08, 4.85501e-08, 4.85501e-08, 0, 0
15101, 0, 0, nan, nan, -0.3, -0.2, 0, 4.86001e-08, 4.86001e-08, 4.86001e-08, 0, 0
15112, 0, 0, nan, nan, -0.3, -0.2, 0, 4.86501e-08, 4.86501e-08, 4.86501e-08, 0, 0
15121, 0, 0, nan, nan, -0.3, -0.2, 0, 4.87001e-08, 4.87001e-08, 4.87001e-08, 0, 0
15131, 0, 0, nan, nan, -0.3, -0.2, 0, 4.87501e-08, 4.87501e-08, 4.87501e-08, 0, 0
15141, 0, 0, nan, nan, -0.3, -0.2, 0, 4.88001e-08, 4.88001e-08, 4.88001e-08, 0, 0
15152, 0, 0, nan, nan, -0.3, -0.2, 0, 4.88501e-08, 4.88501e-08, 4.88501e-08, 0, 0
15161, 0, 0, nan, nan, -0.3, -0.2, 0, 4.89001e-08, 4.89001e-08, 4.89001e-08, 0, 0
15171, 0, 0, nan, nan, -0.3, -0.2, 0, 4.89501e-08, 4.89501e-08, 4.89501e-08, 0, 0
15181, 0, 0, nan, nan, -0.3, -0.2, 0, 4.90001e-08, 4.90001e-08, 4.90001e-08, 0, 0
15192, 0, 0, nan, nan, -0.3, -0.2, 0, 4.90501e-08, 4.90501e-08, 4.90501e-08, 0, 0
15202, 0, 0, nan, nan, -0.3, -0.2, 0, 4.91001e-08, 4.91001e-08, 4.91001e-08, 0, 0
15211, 0, 0, nan, nan, -0.3, -0.2, 0, 4.91501e-08, 4.91501e-08, 4.91501e-08, 0, 0
15221, 0, 0, nan, nan, -0.3, -0.2, 0, 4.92001e-08, 4.92001e-08, 4.92001e-08, 0, 0
15232, 0, 0, nan, nan, -0.3, -0.2, 0, 4.92501e-08, 4.92501e-08, 4.92501e-08, 0, 0
15242, 0, 0, nan, nan, -0.3, -0.2, 0, 4.93001e-08, 4.93001e-08, 4.93001e-08, 0, 0
15251, 0, 0, nan, nan, -0.3, -0.2, 0, 4.93501e-08, 4.93501e-08, 4.93501e-08, 0, 0
15261, 0, 0, nan, nan, -0.3, -0.2, 0, 4.94001e-08, 4.94001e-08, 4.94001e-08, 0, 0
15271, 0, 0, nan, nan, -0.3, -0.2, 0, 4.94501e-08, 4.94501e-08, 4.94501e-08, 0, 0
15282, 0, 0, nan, nan, -0.3, -0.2, 0, 4.95001e-08, 4.95001e-08, 4.95001e-08, 0, 0
15291, 0, 0, nan, nan, -0.3, -0.2, 0, 4.95501e-08, 4.95501e-08, 4.95501e-08, 0, 0
15301, 0, 0, nan, nan, -0.3, -0.2, 0, 4.96001e-08, 4.96001e-08, 4.96001e-08, 0, 0
15311, 0, 0, nan, nan, -0.3, -0.2, 0, 4.96501e-08, 4.96501e-08, 4.96501e-08, 0, 0
15322, 0, 0, nan, nan, -0.3, -0.2, 0, 4.97001e-08, 4.97001e-08, 4.97001e-08, 0, 0
15332, 0, 0, nan, nan, -0.3, -0.2, 0, 4.97501e-08, 4.97501e-08, 4.97501e-08, 0, 0
15341, 0, 0, nan, nan, -0.3, -0.2, 0, 4.98001e-08, 4.98001e-08, 4.98001e-08, 0, 0
15351, 0, 0, nan, nan, -0.3, -0.2, 0, 4.98501e-08, 4.98501e-08, 4.98501e-08, 0, 0
15362, 0, 0, nan, nan, -0.3, -0.2, 0, 4.99001e-08, 4.99001e-08, 4.99001e-08, 0, 0
15372, 0, 0, nan, nan, -0.3, -0.2, 0, 4.99501e-08, 4.99501e-08, 4.99501e-08, 0, 0
15381, 0, 0, nan, nan, -0.3, -0.2, 0, 5.00001e-08, 5.00001e-08, 5.00001e-08, 0, 0
15391, 0, 0, nan, nan, -0.3, -0.2, 0, 5.00501e-08, 5.00501e-08, 5.00501e-08, 0, 0
15401, 0, 0, nan, nan, -0.3, -0.2, 0, 5.01001e-08, 5.01001e-08, 5.01001e-08, 0, 0
15412, 0, 0, nan, nan, -0.3, -0.2, 0, 5.01501e-08, 5.01501e-08, 5.01501e-08, 0, 0
15421, 0, 0, nan, nan, -0.3, -0.2, 0, 5.02001e-08, 5.02001e-08, 5.02001e-08, 0, 0
15431, 0, 0, nan, nan, -0.3, -0.2, 0, 5.02501e-08, 5.02501e-08, 5.02501e-08, 0, 0
15441, 0, 0, nan, nan, -0.3, -0.2, 0, 5.03001e-08, 5.03001e-08, 5.03001e-08, 0, 0
15452, 0, 0, nan, nan, -0.3, -0.2, 0, 5.03501e-08, 5.03501e-08, 5.03501e-08, 0, 0
15461, 0, 0, nan, nan, -0.3, -0.2, 0, 5.04001e-08, 5.04001e-08, 5.04001e-08, 0, 0
15471, 0, 0, nan, nan, -0.3, -0.2, 0, 5.04501e-08, 5.04501e-08, 5.04501e-08, 0, 0
15481, 0, 0, nan, nan, -0.3, -0.2, 0, 5.05001e-08, 5.05001e-08, 5.05001e-08, 0, 0
15492, 0, 0, nan, nan, -0.3, -0.2, 0, 5.05501e-08, 5.05501e-08, 5.05501e-08, 0, 0
15502, 0, 0, nan, nan, -0.3, -0.2, 0, 5.06001e-08, 5.06001e-08, 5.06001e-08, 0, 0
15511, 0, 0, nan, nan, -0.3, -0.2, 0, 5.06501e-08, 5.06501e-08, 5.06501e-08, 0, 0
15521, 0, 0, nan, nan, -0.3, -0.2, 0, 5.07001e-08, 5.07001e-08, 5.07001e-08, 0, 0
15532, 0, 0, nan, nan, -0.3, -0.2, 0, 5.07501e-08, 5.07501e-08, 5.07501e-08, 0, 0
15542, 0, 0, nan, nan, -0.3, -0.2, 0, 5.08001e-08, 5.08001e-08, 5.08001e-08, 0, 0
15551, 0, 0, nan, nan, -0.3, -0.2, 0, 5.08501e-08, 5.08501e-08, 5.08501e-08, 0, 0
15561, 0, 0, nan, nan, -0.3, -0.2, 0, 5.09001e-08, 5.09001e-08, 5.09001e-08, 0, 0
15571, 0, 0, nan, nan, -0.3, -0.2, 0, 5.09501e-08, 5.09501e-08, 5.09501e-08, 0, 0
15582, 0, 0, nan, nan, -0.3, -0.2, 0, 5.10001e-08, 5.10001e-08, 5.10001e-08, 0, 0
15591, 0, 0, nan, nan, -0.3, -0.2, 0, 5.10501e-08, 5.10501e-08, 5.10501e-08, 0, 0
15601, 0, 0, nan, nan, -0.3, -0.2, 0, 5.11001e-08, 5.11001e-08, 5.11001e-08, 0, 0
15611, 0, 0, nan, nan, -0.3, -0.2, 0, 5.11501e-08, 5.11501e-08, 5.11501e-08, 0, 0
15622, 0, 0, nan, nan, -0.3, -0.2, 0, 5.12001e-08, 5.12001e-08, 5.12001e-08, 0, 0
15631, 0, 0, nan, nan, -0.3, -0.2, 0, 5.12501e-08, 5.12501e-08, 5.12501e-08, 0, 0
15642, 0, 0, nan, nan, -0.3, -0.2, 0, 5.13001e-08, 5.13001e-08, 5.13001e-08, 0, 0
15654, 0.02, 0, 0.26368, 0.128322, -0.299691, -0.200065, -1.34235e-05, 5.12975e-08, 5.12975e-08, 5.13495e-08, 0.02, 0
15665, 0.02, 0, 0.261127, 0.141296, -0.299395, -0.200128, -2.55953e-05, 5.1295e-08, 5.1295e-08, 5.13989e-08, 0.02, 0
15675, 0.02, 0, 0.26368, 0.141296, -0.2991, -0.200193, -3.79474e-05, 5.12924e-08, 5.12924e-08, 5.14483e-08, 0.02, 0
15685, 0.02, 0, 0.26368, 0.141296, -0.298804, -0.200258, -5.02829e-05, 5.12898e-08, 5.12898e-08, 5.14977e-08, 0.02, 0
15694, 0.02, 0, 0.261127, 0.141296, -0.29851, -0.20032, -6.24035e-05, 5.12873e-08, 5.12873e-08, 5.1547e-08, 0.02, 0
15705, 0.02, 0, 0.24683, 0.141296, -0.298215, -0.200368, -7.33939e-05, 5.12847e-08, 5.12848e-08, 5.15964e-08, 0.02, 0
15715, 0.02, 0, 0.261127, 0.141296, -0.297921, -0.20043, -8.54818e-05, 5.12822e-08, 5.12822e-08, 5.16458e-08, 0.02, 0
15725, 0.02, 0, 0.26368, 0.141986, -0.297628, -0.200495, -9.76975e-05, 5.12797e-08, 5.12797e-08, 5.16952e-08, 0.02, 0
15735, 0.02, 0, 0.26368, 0.141296, -0.297334, -0.20056, -0.000109952, 5.12771e-08, 5.12772e-08, 5.17445e-08, 0.02, 0
15745, 0.02, 0, 0.261127, 0.140614, -0.29704, -0.200622, -0.000122043, 5.12746e-08, 5.12746e-08, 5.17939e-08, 0.02, 0
15755, 0.02, 0, 0.26368, 0.141986, -0.296748, -0.200687, -0.00013421, 5.12721e-08, 5.12721e-08, 5.18433e-08, 0.02, 0
15765, 0.02, 0, 0.26368, 0.141296, -0.296455, -0.200751, -0.000146414, 5.12696e-08, 5.12696e-08, 5.18926e-08, 0.02, 0
