QGPIORecord, QRC v6.1.0, 18-12-2025 @ 15:49:44, Windows 10 Version 2009, 10.0.26200, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
21061, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
21071, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
21082, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
21093, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
21101, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
21111, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
21122, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
21132, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
21141, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
21151, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
21161, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
21172, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
21181, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
21191, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
21201, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
21212, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
21221, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
21231, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
21241, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
21252, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
21262, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
21271, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
21281, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
21292, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
