QGPIORecord, QRC v6.1.0, 18-12-2025 @ 16:03:14, Windows 10 Version 2009, 10.0.26200, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
59971, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
59981, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
59993, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60002, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60011, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60021, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60032, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60042, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60051, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60061, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60071, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60082, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60091, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60101, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60111, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60122, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60132, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60141, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60151, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60162, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60172, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60181, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60191, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60201, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60212, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60221, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60231, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60241, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60252, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60262, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60271, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60281, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60292, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60302, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60311, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60321, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60332, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60342, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60351, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60361, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60371, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60382, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60391, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60401, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60411, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60422, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60432, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60441, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60451, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60462, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60472, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60481, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60491, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60502, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60512, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60521, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60531, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60541, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60552, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60561, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60571, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60581, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60592, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
60602, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
