QGPIORecord, QRC v6.1.0, 18-12-2025 @ 16:21:04, Windows 10 Version 2009, 10.0.26200, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
19002, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
19011, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
19021, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
19033, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
19042, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
19051, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
19061, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
19072, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
19082, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
19091, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
19101, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
19111, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
19122, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
19131, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
19141, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
19151, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
19162, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
19172, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
19181, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
19191, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
19202, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
19212, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
19221, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
