QGPIORecord, QRC v6.1.0, 01-12-2025 @ 13:48:13, Windows 10 Version 2009, 10.0.26100, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
192320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
192330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
192342, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
192350, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
192360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
192370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
192380, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
192390, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
192400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
192410, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
192420, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
192431, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
192440, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
192450, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
192460, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
192471, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
192480, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
192490, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
192500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
192510, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
192520, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
192530, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
192540, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
192550, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
192561, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
192570, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
192580, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
192590, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
192601, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
192610, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
192620, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
192630, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
192641, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
192650, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
192660, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
192670, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
192680, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
192690, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
192700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
192710, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
192720, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
192731, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
