QGPIORecord, QRC v6.1.0, 01-12-2025 @ 13:46:20, Windows 10 Version 2009, 10.0.26100, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
78560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
78570, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
78581, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
78590, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
78600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
78610, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
78620, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
78630, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
78641, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
78650, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
78660, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
78670, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
78681, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
78690, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
78700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
78710, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
78721, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
78730, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
78740, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
78750, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
78760, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
78770, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
78780, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
78790, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
78800, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
78811, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
78820, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
78830, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
78840, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
78851, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
78860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
78870, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
78880, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
78891, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
78900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
78910, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
78920, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
78930, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
78940, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
