QGPIORecord, QRC v6.1.0, 01-12-2025 @ 13:50:46, Windows 10 Version 2009, 10.0.26100, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
345410, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
345421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
345431, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
345440, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
345450, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
345460, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
345470, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
345480, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
345490, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
345500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
345510, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
345521, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
345530, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
345540, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
345550, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
345561, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
345570, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
345580, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
345590, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
345601, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
345610, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
345620, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
345630, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
345640, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
345650, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
345660, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
345670, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
345680, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
345691, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
345700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
345710, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
345720, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
345731, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
345740, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
345750, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
345760, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
345771, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
345780, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
345790, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
345800, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
345810, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
345820, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
345830, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
345840, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
345850, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
345861, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
345870, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
345880, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
345890, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
345901, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
