QGPIORecord, QRC v6.1.0, 04-12-2025 @ 22:45:07, Windows 10 Version 2009, 10.0.26100, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
21140, 0, 0.52696, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21150, 0, 0.573872, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21161, 0, 0.516429, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21170, 0, 0.52696, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21180, 0, 0.487266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21190, 0, 0.53794, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21200, 0, 0.586964, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21211, 0, 0.586964, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21220, 0, 0.453242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21230, 0, 0.487266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21240, 0, 0.496606, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21251, 0, 0.573872, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21260, 0, 0.586964, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21270, 0, 0.487266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21280, 0, 0.573872, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21291, 0, 0.586964, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21300, 0, 0.487266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21310, 0, 0.506319, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21320, 0, 0.53794, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21330, 0, 0.52696, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21340, 0, 0.52696, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21350, 0, 0.52696, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21360, 0, 0.573872, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21370, 0, 0.586964, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21381, 0, 0.586964, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21390, 0, 0.52696, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21400, 0, 0.53794, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21410, 0, 0.53794, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21421, 0, 0.53794, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21430, 0, 0.586964, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21440, 0, 0.573872, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21450, 0, 0.586964, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21460, 0, 0.52696, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21470, 0, 0.52696, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21480, 0, 0.53794, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21490, 0, 0.52696, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21500, 0, 0.646044, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21510, 0, 0.662757, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21520, 0, 0.52696, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21530, 0, 0.487266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21540, 0, 0.469624, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21551, 0, 0.573872, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21560, 0, 0.586964, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21570, 0, 0.52696, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21580, 0, 0.52696, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21591, 0, 0.53794, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21600, 0, 0.573872, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21610, 0, 0.586964, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21620, 0, 0.586964, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21630, 0, 0.52696, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
