QGPIORecord, QRC v6.1.0, 05-12-2025 @ 11:44:19, Windows 10 Version 2009, 10.0.26100, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
170040, 0, 0.152471, -0.300418, 0, 0, 0, 0, 0, 0.00539398, -0.3, 0, 0
170050, 0, 0.152471, -0.300418, 0, 0, 0, 0, 0, 0.00539398, -0.3, 0, 0
170061, 0, 0.152471, -0.300418, 0, 0, 0, 0, 0, 0.00539398, -0.3, 0, 0
170071, 0, 0.150871, -0.300418, 0, 0, 0, 0, 0, 0.00539398, -0.3, 0, 0
170080, 0, 0.151666, -0.300418, 0, 0, 0, 0, 0, 0.00539398, -0.3, 0, 0
170090, 0, 0.151666, -0.300418, 0, 0, 0, 0, 0, 0.00539398, -0.3, 0, 0
170100, 0, 0.151666, -0.300418, 0, 0, 0, 0, 0, 0.00539398, -0.3, 0, 0
170110, 0, 0.151666, -0.300418, 0, 0, 0, 0, 0, 0.00539398, -0.3, 0, 0
170120, 0, 0.151666, -0.300418, 0, 0, 0, 0, 0, 0.00539398, -0.3, 0, 0
170130, 0, 0.151666, -0.300418, 0, 0, 0, 0, 0, 0.00539398, -0.3, 0, 0
170140, 0, 0.151666, -0.300418, 0, 0, 0, 0, 0, 0.00539398, -0.3, 0, 0
170150, 0, 0.151666, -0.300418, 0, 0, 0, 0, 0, 0.00539398, -0.3, 0, 0
170160, 0, 0.151666, -0.300418, 0, 0, 0, 0, 0, 0.00539398, -0.3, 0, 0
170170, 0, 0.152471, -0.300418, 0, 0, 0, 0, 0, 0.00539398, -0.3, 0, 0
170180, 0, 0.151666, -0.300418, 0, 0, 0, 0, 0, 0.00539398, -0.3, 0, 0
170190, 0, 0.152471, -0.300418, 0, 0, 0, 0, 0, 0.00539398, -0.3, 0, 0
170201, 0, 0.151666, -0.300418, 0, 0, 0, 0, 0, 0.00539398, -0.3, 0, 0
170210, 0, 0.149308, -0.300418, 0, 0, 0, 0, 0, 0.00539398, -0.3, 0, 0
170220, 0, 0.149308, -0.300418, 0, 0, 0, 0, 0, 0.00539398, -0.3, 0, 0
170230, 0, 0.151666, -0.300418, 0, 0, 0, 0, 0, 0.00539398, -0.3, 0, 0
170241, 0, 0.151666, -0.300418, 0, 0, 0, 0, 0, 0.00539398, -0.3, 0, 0
170250, 0, 0.151666, -0.300418, 0, 0, 0, 0, 0, 0.00539398, -0.3, 0, 0
170260, 0, 0.148539, -0.300418, 0, 0, 0, 0, 0, 0.00539398, -0.3, 0, 0
170270, 0, 0.149308, -0.300418, 0, 0, 0, 0, 0, 0.00539398, -0.3, 0, 0
