QGPIORecord, QRC v6.1.0, 05-12-2025 @ 11:34:27, Windows 10 Version 2009, 10.0.26100, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
76620, 0, 0.152471, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
76631, 0, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
76641, 0, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
76650, 0, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
76660, 0, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
76670, 0, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
76680, 0, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
76690, 0, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
76700, 0, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
76710, 0, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
76720, 0, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
76730, 0, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
76740, 0, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
76750, 0, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
76761, 0, 0.149308, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
76770, 0, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
76780, 0, 0.152471, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
76790, 0, 0.152471, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
76801, 0, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
76810, 0, 0.152471, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
76820, 0, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
76830, 0, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
76840, 0, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
76850, 0, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
76860, 0, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
76870, 0, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
76880, 0, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
76890, 0, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
76900, 0, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
76910, 0, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
76920, 0, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
76931, 0, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
76940, 0, 0.14482, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
76950, 0, 0.149308, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
76960, 0, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
76971, 0, 0.152471, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
76980, 0, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
76990, 0, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
77000, 0, 0.152471, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
77010, 0, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
