QGPIORecord, QRC v6.1.0, 04-12-2025 @ 21:21:28, Windows 10 Version 2009, 10.0.26100, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
20880, 0, 0.253768, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20890, 0, 0.251411, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20901, 0, 0.24683, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20911, 0, 0.24683, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20920, 0, 0.251411, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20930, 0, 0.253768, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20940, 0, 0.251411, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20951, 0, 0.253768, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20960, 0, 0.253768, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20970, 0, 0.242421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20980, 0, 0.244605, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20990, 0, 0.26368, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21000, 0, 0.261127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21010, 0, 0.26368, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21020, 0, 0.253768, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21030, 0, 0.251411, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21040, 0, 0.253768, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21050, 0, 0.261127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21060, 0, 0.26368, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21070, 0, 0.26368, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21081, 0, 0.26368, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21090, 0, 0.277269, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21100, 0, 0.251411, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21110, 0, 0.261127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21121, 0, 0.26368, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21130, 0, 0.261127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21140, 0, 0.26368, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21150, 0, 0.253768, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21160, 0, 0.251411, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21170, 0, 0.253768, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21180, 0, 0.26368, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21190, 0, 0.251411, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21200, 0, 0.253768, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21210, 0, 0.251411, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21220, 0, 0.253768, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
