QGPIORecord, QRC v6.1.0, 05-12-2025 @ 11:42:57, Windows 10 Version 2009, 10.0.26100, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
88111, 0, 0.149308, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
88121, 0, 0.152471, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
88131, 0, 0.148539, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
88140, 0, 0.149308, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
88151, 0, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
88160, 0, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
88170, 0, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
88180, 0, 0.148539, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
88190, 0, 0.148539, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
88200, 0, 0.148539, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
88210, 0, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
88220, 0, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
88230, 0, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
88240, 0, 0.148539, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
88250, 0, 0.148539, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
88260, 0, 0.148539, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
88270, 0, 0.148539, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
88281, 0, 0.149308, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
88290, 0, 0.148539, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
88300, 0, 0.149308, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
88310, 0, 0.153284, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
88321, 0, 0.148539, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
88330, 0, 0.149308, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
88340, 0, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
88350, 0, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
88360, 0, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
88370, 0, 0.148539, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
88380, 0, 0.149308, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
88390, 0, 0.148539, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
88400, 0, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
88410, 0, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
88420, 0, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
88430, 0, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
88440, 0, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
88451, 0, 0.148539, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
88460, 0, 0.148539, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
