QGPIORecord, QRC v6.1.0, 18-12-2025 @ 02:12:12, Windows 10 Version 2009, 10.0.26200, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
19451, 0, 0, nan, nan, -0.3, -0.2, 0, 0.00102827, 0.00131766, 0.0107771, 0, 0
19462, 0, 0, nan, nan, -0.3, -0.2, 0, 0.00102831, 0.00131811, 0.0107816, 0, 0
19473, 0, 0, nan, nan, -0.3, -0.2, 0, 0.00102835, 0.00131856, 0.0107861, 0, 0
19481, 0, 0, nan, nan, -0.3, -0.2, 0, 0.00102839, 0.00131901, 0.0107906, 0, 0
19491, 0, 0, nan, nan, -0.3, -0.2, 0, 0.00102843, 0.00131946, 0.0107951, 0, 0
19502, 0, 0, nan, nan, -0.3, -0.2, 0, 0.00102847, 0.00131991, 0.0107996, 0, 0
19512, 0, 0, nan, nan, -0.3, -0.2, 0, 0.00102851, 0.00132036, 0.0108041, 0, 0
19521, 0, 0, nan, nan, -0.3, -0.2, 0, 0.00102855, 0.00132081, 0.0108086, 0, 0
19531, 0, 0, nan, nan, -0.3, -0.2, 0, 0.00102859, 0.00132126, 0.0108131, 0, 0
19542, 0, 0, nan, nan, -0.3, -0.2, 0, 0.00102863, 0.00132171, 0.0108176, 0, 0
19552, 0, 0, nan, nan, -0.3, -0.2, 0, 0.00102867, 0.00132216, 0.0108221, 0, 0
19561, 0, 0, nan, nan, -0.3, -0.2, 0, 0.00102871, 0.00132261, 0.0108266, 0, 0
19571, 0, 0, nan, nan, -0.3, -0.2, 0, 0.00102875, 0.00132306, 0.0108311, 0, 0
19581, 0, 0, nan, nan, -0.3, -0.2, 0, 0.00102879, 0.00132351, 0.0108356, 0, 0
19592, 0, 0, nan, nan, -0.3, -0.2, 0, 0.00102883, 0.00132396, 0.0108401, 0, 0
19601, 0, 0, nan, nan, -0.3, -0.2, 0, 0.00102887, 0.00132441, 0.0108446, 0, 0
19611, 0, 0, nan, nan, -0.3, -0.2, 0, 0.00102891, 0.00132486, 0.0108491, 0, 0
19621, 0, 0, nan, nan, -0.3, -0.2, 0, 0.00102895, 0.00132531, 0.0108536, 0, 0
19632, 0, 0, nan, nan, -0.3, -0.2, 0, 0.00102899, 0.00132576, 0.0108581, 0, 0
19642, 0, 0, nan, nan, -0.3, -0.2, 0, 0.00102903, 0.00132621, 0.0108626, 0, 0
19651, 0, 0, nan, nan, -0.3, -0.2, 0, 0.00102907, 0.00132666, 0.0108671, 0, 0
19661, 0, 0, nan, nan, -0.3, -0.2, 0, 0.00102911, 0.00132711, 0.0108716, 0, 0
19672, 0, 0, nan, nan, -0.3, -0.2, 0, 0.00102915, 0.00132756, 0.0108761, 0, 0
19682, 0, 0, nan, nan, -0.3, -0.2, 0, 0.00102919, 0.00132801, 0.0108806, 0, 0
19691, 0, 0, nan, nan, -0.3, -0.2, 0, 0.00102923, 0.00132846, 0.0108851, 0, 0
19701, 0, 0, nan, nan, -0.3, -0.2, 0, 0.00102927, 0.00132891, 0.0108896, 0, 0
