QGPIORecord, QRC v6.1.0, 18-12-2025 @ 16:08:47, Windows 10 Version 2009, 10.0.26200, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
25791, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
25801, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
25812, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
25822, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
25831, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
25841, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
25851, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
25862, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
25872, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
25881, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
25891, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
25902, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
25912, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
25921, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
25931, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
25942, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
25952, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
25961, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
25971, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
25981, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
25992, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
26001, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
26011, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
26021, 0, 0, 0, -0.3, -0.2, 0, 0, 0, 0, 0, 0, nan
