QGPIORecord, QRC v6.1.0, 04-12-2025 @ 22:46:33, Windows 10 Version 2009, 10.0.26100, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
40791, 0, 0.52696, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40800, 0, 0.487266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40811, 0, 0.496606, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40820, 0, 0.52696, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40830, 0, 0.53794, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40840, 0, 0.53794, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40850, 0, 0.53794, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40860, 0, 0.53794, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40870, 0, 0.52696, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40880, 0, 0.573872, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40890, 0, 0.586964, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40900, 0, 0.52696, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40910, 0, 0.53794, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40921, 0, 0.586964, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40930, 0, 0.487266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40940, 0, 0.496606, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40950, 0, 0.53794, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40961, 0, 0.573872, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40970, 0, 0.52696, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40980, 0, 0.549396, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40990, 0, 0.586964, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
41000, 0, 0.53794, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
41010, 0, 0.52696, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
41020, 0, 0.53794, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
41030, 0, 0.487266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
41040, 0, 0.52696, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
41050, 0, 0.549396, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
41060, 0, 0.487266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
41070, 0, 0.573872, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
41080, 0, 0.586964, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
41091, 0, 0.52696, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
41100, 0, 0.53794, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
41110, 0, 0.487266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
41120, 0, 0.573872, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
41131, 0, 0.586964, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
41140, 0, 0.52696, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
41150, 0, 0.52696, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
41160, 0, 0.53794, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
41170, 0, 0.453242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
41180, 0, 0.43799, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
41190, 0, 0.496606, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
41200, 0, 0.52696, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
41210, 0, 0.53794, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
41221, 0, 0.487266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
41230, 0, 0.487266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
41240, 0, 0.487266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
41250, 0, 0.487266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
41261, 0, 0.496606, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
41270, 0, 0.646044, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
41280, 0, 0.496606, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
41290, 0, 0.487266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
41300, 0, 0.573872, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
41310, 0, 0.549396, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
41320, 0, 0.52696, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
41330, 0, 0.573872, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
41340, 0, 0.586964, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
41350, 0, 0.496606, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
41360, 0, 0.487266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
41370, 0, 0.496606, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
41380, 0, 0.646044, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
